comments,process_comments,spell_correct_with_emo,spell_correct_without_emo,likes,Related_to_post,punc_number,emoji_number,abusive_word_number,positive_word_number,Bsentiment,label
ek kothay osdharon hoiche aita,ek kothay osdharon hoiche aita,ek kothay osdharon hoiche aita,ek kothay osdharon hoiche aita,3,1.0,0,0,0,0,Supportive,Nonbullying
khub e moja pailam,khub e moja pailam,khub e moja pailam,khub e moja pailam,0,1.0,0,0,0,1,Happy,Nonbullying
"ami onek khushi aj , kichu jinish dekhte pelam",ami onek khushi aj  kichu jinish dekhte pelam,ami onek khushi aj  kichu jinish dekhte pelam,ami onek khushi aj  kichu jinish dekhte pelam,1,1.0,1,0,0,0,Happy,Nonbullying
sheshta valoi chile,sheshta valoi chile,sheshta valoi chile,sheshta valoi chile,0,1.0,0,0,0,1,Normal_comment,Neutral
ভাই love you,ভাই love you,ভাই love you,ভাই love you,1,1.0,0,0,0,1,Supportive,Nonbullying
salam ভাই,salam ভাই,salam ভাই,salam ভাই,1,1.0,0,0,0,0,Normal_comment,Neutral
moja pailam re vai,moja pailam re vai,moja pailam re vai,moja pailam re vai,1,1.0,0,0,0,1,Happy,Nonbullying
moja peyechi।,moja peyechi।,moja peyechi।,moja peyechi।,1,1.0,0,0,0,1,Happy,Nonbullying
"Allah tumi sohay how , janoartar fashi dewa hok",allah tumi sohay how  janoartar fashi dewa hok,allah tumi sohay how  janoartar fashi dewa hok,allah tumi sohay how  janoartar fashi dewa hok,0,1.0,1,0,0,0,Aggressive,Neutral
jonoshomukkhe fashi karjokor kora hok,jonoshomukkhe fashi karjokor kora hok,jonoshomukkhe fashi karjokor kora hok,jonoshomukkhe fashi karjokor kora hok,3,1.0,0,0,0,0,Aggressive,Bullying
hottakarike jonoshomukkhe fashi dewa hok,hottakarike jonoshomukkhe fashi dewa hok,hottakarike jonoshomukkhe fashi dewa hok,hottakarike jonoshomukkhe fashi dewa hok,1,1.0,0,0,0,0,Aggressive,Bullying
choker pani onek bar atkate chailam kintu parlamna atkate,choker pani onek bar atkate chailam kintu parlamna atkate,choker pani onek bar atkate chailam kintu parlamna atkate,choker pani onek bar atkate chailam kintu parlamna atkate,0,1.0,0,0,0,0,Sad,Nonbullying
shite shundor ekti natok upohar dewar jonno dhonnobak..…,shite shundor ekti natok upohar dewar jonno dhonnobak…,shite shundor ekti natok upohar dewar jonno dhonnobak…,shite shundor ekti natok upohar dewar jonno dhonnobak…,4,1.0,2,0,0,1,Supportive,Nonbullying
bangla natoker pashe thakar jonno shobaike dhonnobad,bangla natoker pashe thakar jonno shobaike dhonnobad,bangla natoker pashe thakar jonno shobaike dhonnobad,bangla natoker pashe thakar jonno shobaike dhonnobad,1,1.0,0,0,0,1,Supportive,Nonbullying
borka gayer mohilar ovhinoy ta darun hoiche,borka gayer mohilar ovhinoy ta darun hoiche,borka gayer mohilar ovhinoy ta darun hoiche,borka gayer mohilar ovhinoy ta darun hoiche,28,1.0,0,0,0,1,Supportive,Nonbullying
natok ta dekhe haste haste sesh,natok ta dekhe haste haste sesh,natok ta dekhe haste haste sesh,natok ta dekhe haste haste sesh,13,1.0,0,0,0,2,Happy,Nonbullying
onek shundor ekta natok,onek shundor ekta natok,onek shundor ekta natok,onek shundor ekta natok,30,1.0,0,0,0,1,Supportive,Nonbullying
natok dekhe haste haste sesh ami,natok dekhe haste haste sesh ami,natok dekhe haste haste sesh ami,natok dekhe haste haste sesh ami,1,1.0,0,0,0,2,Happy,Nonbullying
"হাসতে হাসতে পেট ব্যথা হয়ে , natok ta onek sundor",হাসতে হাসতে পেট ব্যথা হয়ে  natok ta onek sundor,হাসতে হাসতে পেট ব্যথা হয়ে  natok ta onek sundor,হাসতে হাসতে পেট ব্যথা হয়ে  natok ta onek sundor,82,1.0,1,0,0,3,Happy,Nonbullying
natok to natok e ki ek natok,natok to natok e ki ek natok,natok to natok e ki ek natok,natok to natok e ki ek natok,19,1.0,0,0,0,0,Normal_comment,Neutral
depression a thaka manush der k bolchi shamim vai er natok dekhun mon valo hoye jabe,depression a thaka manush der k bolchi shamim vai er natok dekhun mon valo hoye jabe,depression a thaka manush der k bolchi shamim vai ar natok dekhun mon valo hoye jabe,depression a thaka manush der k bolchi shamim vai ar natok dekhun mon valo hoye jabe,116,1.0,0,0,0,1,Normal_comment,Neutral
onek sundor hasi paiche natok dekhe,onek sundor hasi paiche natok dekhe,onek sundor hasi paiche natok dekhe,onek sundor hasi paiche natok dekhe,4,1.0,0,0,0,1,Happy,Nonbullying
"নাটকটা অনেক সুন্দর, besh hasir natok",নাটকটা অনেক সুন্দর besh hasir natok,নাটকটা অনেক সুন্দর besh hasir natok,নাটকটা অনেক সুন্দর besh hasir natok,1,1.0,1,0,0,2,Supportive,Nonbullying
ek kothay osdharon chlo ,ek kothay osdharon chlo ,ek kothay osdharon chlo,ek kothay osdharon chlo,5,1.0,0,0,0,0,Supportive,Nonbullying
shamim vai apni osdharon lok!!,shamim vai apni osdharon lok!!,shamim vai apni osdharon lok!!,shamim vai apni osdharon lok!!,6,1.0,2,0,0,0,Supportive,Nonbullying
haste haste pet betha hoye geche,haste haste pet betha hoye geche,haste haste pet betha hoye geche,haste haste pet betha hoye geche,1,1.0,0,0,0,2,Happy,Nonbullying
oi oshadharon ovinoy shamim vai  k dia e shomvob,oi oshadharon ovinoy shamim vai  k dia e shomvob,oi oshadharon ovinoy shamim vai  k dia e shomvob,oi oshadharon ovinoy shamim vai  k dia e shomvob,4,1.0,0,0,0,0,Normal_comment,Neutral
oenk moja paichi natok ta dekhe।,oenk moja paichi natok ta dekhe।,oenk moja paichi natok ta dekhe।,oenk moja paichi natok ta dekhe।,4,1.0,0,0,0,1,Supportive,Nonbullying
oshamajik natok sustho somajer ongsho hote parena।,oshamajik natok sustho somajer ongsho hote parena।,oshamajik natok sustho somajer ongsho hote parena।,oshamajik natok sustho somajer ongsho hote parena।,1,1.0,0,0,0,0,Normal_comment,Neutral
amader bangla natok manei binodone vorpur,amader bangla natok manei binodone vorpur,amader bangla natok manei binodone vorpur,amader bangla natok manei binodone vorpur,3,1.0,0,0,0,0,Normal_comment,Neutral
khub sundor ekta natok,khub sundor ekta natok,khub sundor ekta natok,khub sundor ekta natok,2,1.0,0,0,0,1,Supportive,Nonbullying
natok ta ek kothay osadharon,natok ta ek kothay osadharon,natok ta ek kothay osadharon,natok ta ek kothay osadharon,3,1.0,0,0,0,0,Supportive,Nonbullying
ah allah dadar kanna shojjo hocchena,ah allah dadar kanna shojjo hocchena,ah allah dadar kanna shojjo hocchena,ah allah dadar kanna shojjo hocchena,61,1.0,0,0,0,1,Sad,Nonbullying
ekjon baba mar kache er cheye koshter kichu hoyna,ekjon baba mar kache er cheye koshter kichu hoyna,ekjon baba mar kache ar cheye koshter kichu hoyna,ekjon baba mar kache ar cheye koshter kichu hoyna,17,1.0,0,0,0,0,Sad,Nonbullying
"bortoman juge manush jati gula k bisshash kora day,,,,,",bortoman juge manush jati gula k bisshash kora day,bortoman juge manush jati gula k bisshash kora day,bortoman juge manush jati gula k bisshash kora day,10,1.0,5,0,0,0,Normal_comment,Neutral
আলহামদুলিল্লাহ এখনো অনেকটা পথ বাকি ইনশাআল্লাহ কষ্ট হোক ক্লান্ত হয়ে যাব কিন্তু থেমে থাকবো না আল্লাহ ভরসা  ,আলহামদুলিল্লাহ এখনো অনেকটা পথ বাকি ইনশাআল্লাহ কষ্ট হোক ক্লান্ত হয়ে যাব কিন্তু থেমে থাকবো না আল্লাহ ভরসা  ,আলহামদুলিল্লাহ এখনো অনেকটা পথ বাকি ইনশাআল্লাহ কষ্ট হোক ক্লান্ত হয়ে যাব কিন্তু থেমে থাকবো না আল্লাহ ভরসা,আলহামদুলিল্লাহ এখনো অনেকটা পথ বাকি ইনশাআল্লাহ কষ্ট হোক ক্লান্ত হয়ে যাব কিন্তু থেমে থাকবো না আল্লাহ ভরসা,1,1.0,0,0,0,2,Normal_comment,Nonbullying
Valo thakar ovinoyta sotti koster😔,valo thakar ovinoyta sotti koster😔,valo thakar ovinoyta sotti koster😔,valo thakar ovinoyta sotti koster,9,1.0,0,1,0,1,Sad,Nonbullying
মিথ্যা হাসি দিয়ে বলতে হয় হ্যা আমি অনেক ভালো আছি ,মিথ্যা হাসি দিয়ে বলতে হয় হ্যা আমি অনেক ভালো আছি ,মিথ্যা হাসি দিয়ে বলতে হয় হ্যা আমি অনেক ভালো আছি,মিথ্যা হাসি দিয়ে বলতে হয় হ্যা আমি অনেক ভালো আছি,11,1.0,0,0,0,3,Normal_comment,Nonbullying
Hmm😅🖐️তার পরেও মুখে একরাশ হাসি নিয়ে বলতে হয় আমি অনেক ভালো আছি💔🫂👀,hmm😅🖐️তার পরেও মুখে একরাশ হাসি নিয়ে বলতে হয় আমি অনেক ভালো আছি💔🫂👀,hmm😅🖐️তার পরেও মুখে একরাশ হাসি নিয়ে বলতে হয় আমি অনেক ভালো আছি💔🫂👀,hmmতার পরেও মুখে একরাশ হাসি নিয়ে বলতে হয় আমি অনেক ভালো আছি,2,1.0,0,5,0,3,Normal_comment,Nonbullying
জিবনে কিছু করতে হলে ক্লান্ত হওয়া জাবে না bro... ,জিবনে কিছু করতে হলে ক্লান্ত হওয়া জাবে না bro ,জিবনে কিছু করতে হলে ক্লান্ত হওয়া জাবে না bro,জিবনে কিছু করতে হলে ক্লান্ত হওয়া জাবে না bro,2,1.0,3,0,0,0,Normal_comment,Nonbullying
"ইতিহাসের সর্বশ্রেষ্ঠ নিকৃষ্টতম শিক্ষামন্ত্রী,এই নিকৃষ্ট শিক্ষা মন্ত্রী ইসলাম ধ্বংসের চরম ষড়যন্ত্র করে যাচ্ছে।",ইতিহাসের সর্বশ্রেষ্ঠ নিকৃষ্টতম শিক্ষামন্ত্রীএই নিকৃষ্ট শিক্ষা মন্ত্রী ইসলাম ধ্বংসের চরম ষড়যন্ত্র করে যাচ্ছে।,ইতিহাসের সর্বশ্রেষ্ঠ নিকৃষ্টতম শিক্ষামন্ত্রীএই নিকৃষ্ট শিক্ষা মন্ত্রী ইসলাম ধ্বংসের চরম ষড়যন্ত্র করে যাচ্ছে।,ইতিহাসের সর্বশ্রেষ্ঠ নিকৃষ্টতম শিক্ষামন্ত্রীএই নিকৃষ্ট শিক্ষা মন্ত্রী ইসলাম ধ্বংসের চরম ষড়যন্ত্র করে যাচ্ছে।,0,1.0,1,0,0,0,Aggressive,Bullying
তারেক জিয়া কোনো খুন করে নাই. কিন্তু আপনার নেত্রী শেখ হাসিনা খুনি ও mother of mafiya. ,তারেক জিয়া কোনো খুন করে নাই কিন্তু আপনার নেত্রী শেখ হাসিনা খুনি ও mother of mafiya ,তারেক জিয়া কোনো খুন করে নাই কিন্তু আপনার নেত্রী শেখ হাসিনা খুনি ও mother of mafiya,তারেক জিয়া কোনো খুন করে নাই কিন্তু আপনার নেত্রী শেখ হাসিনা খুনি ও mother of mafiya,3,1.0,2,0,0,0,Aggressive,Bullying
মানুষের জানমাল নিয়ে খেললে এবং বিশৃঙ্খলা সৃষ্টি করলে বিএনপির সাথে খেলা হবে। ,মানুষের জানমাল নিয়ে খেললে এবং বিশৃঙ্খলা সৃষ্টি করলে বিএনপির সাথে খেলা হবে। ,মানুষের জানমাল নিয়ে খেললে এবং বিশৃঙ্খলা সৃষ্টি করলে বিএনপির সাথে খেলা হবে।,মানুষের জানমাল নিয়ে খেললে এবং বিশৃঙ্খলা সৃষ্টি করলে বিএনপির সাথে খেলা হবে।,1,1.0,0,0,0,0,Aggressive,Bullying
কাগজ পএ বই দাম হাতের নাগালে বাহিরে সরকারের কাছে আমার দাবি উন্নয়ন করতে হলে শিক্ষা খাতে উন্নয়ন করতে হবে,কাগজ পএ বই দাম হাতের নাগালে বাহিরে সরকারের কাছে আমার দাবি উন্নয়ন করতে হলে শিক্ষা খাতে উন্নয়ন করতে হবে,কাগজ পএ বই দাম হাতের নাগালে বাহিরে সরকারের কাছে আমার দাবি উন্নয়ন করতে হলে শিক্ষা খাতে উন্নয়ন করতে হবে,কাগজ পএ বই দাম হাতের নাগালে বাহিরে সরকারের কাছে আমার দাবি উন্নয়ন করতে হলে শিক্ষা খাতে উন্নয়ন করতে হবে,0,1.0,0,0,0,0,Normal_comment,Nonbullying
Tomi comment Section kn off rakho apo ,tomi comment section kn off rakho apo ,tomi comment section kn off rakho apo,tomi comment section kn off rakho apo,0,,0,0,0,0,Normal_comment,Neutral
Amader o same obosta 😑 karo tk nai karo family permission dibe na r amra meye gang bole jaytew partechi na... . Ay karo jonno amader jawa hocche na 😤,amader o same obosta 😑 karo tk nai karo family permission dibe na r amra meye gang bole jaytew partechi na  ay karo jonno amader jawa hocche na 😤,amader o same obosta 😑 karo tk nai karo family permission dibe na r amra meye gang bole jaytew partechi na  ay karo jonno amader jawa hocche na 😤,amader o same obosta  karo tk nai karo family permission dibe na r amra meye gang bole jaytew partechi na  ay karo jonno amader jawa hocche na ,3,,4,2,0,0,Normal_comment,Neutral
Ai situatin ar sikar amra o ,ai situatin ar sikar amra o ,ai situatin ar sikar amra o,ai situatin ar sikar amra o,2,,0,0,0,0,Normal_comment,Neutral
"Ami nei,, ma bokbe Parmission nai 😂",ami nei ma bokbe parmission nai 😂,ami nei ma bokbe parmission nai 😂,ami nei ma bokbe parmission nai ,2,,2,1,0,0,Normal_comment,Neutral
Ata holo na porar bahana,ata holo na porar bahana,ata holo na porar bahana,ata holo na porar bahana,3,,0,0,0,0,Normal_comment,Neutral
Khub sundor 😌,khub sundor 😌,khub sundor 😌,khub sundor ,0,,0,1,0,1,Supportive,Nonbullying
Joy Maa Tara ,joy maa tara ,joy maa tara,joy maa tara,0,,0,0,0,0,Normal_comment,Nonbullying
Khub sundar lekha Sir. ,khub sundar lekha sir ,khub sundar lekha sir,khub sundar lekha sir,0,,1,0,0,0,Supportive,Nonbullying
Allah borosha kicho hobo nah vaiya apnr inshaallah ,allah borosha kicho hobo nah vaiya apnr inshaallah ,allah borosha kicho hobo nah vaiya apnr inshaallah,allah borosha kicho hobo nah vaiya apnr inshaallah,6,,0,0,0,0,Supportive,Nonbullying
Sustho hoye otho onek poth chola baki a6eFrom kolkata ,sustho hoye otho onek poth chola baki a6efrom kolkata ,sustho hoye otho onek poth chola baki a6efrom kolkata,sustho hoye otho onek poth chola baki a6efrom kolkata,9,,0,0,0,0,Normal_comment,Neutral
Ja hobe valo hobe vai onk pray kori❤️,ja hobe valo hobe vai onk pray kori❤️,ja hobe valo hobe vai onk pray kori❤️,ja hobe valo hobe vai onk pray kori,2,,0,1,0,1,Supportive,Nonbullying
Duya roilo aponar jonn,duya roilo aponar jonn,duya roilo aponar jonn,duya roilo aponar jonn,0,,0,0,0,0,Supportive,Nonbullying
Allah tumk sustho korben in Sha Allah 🥺🥺,allah tumk sustho korben in sha allah 🥺🥺,allah tumk sustho korben in sha allah 🥺🥺,allah tumk sustho korben in sha allah ,1,,0,2,0,0,Supportive,Nonbullying
n sha allah viyaaa Onk.onk dowa valobasa roilo🥰❤️,n sha allah viyaaa onkonk dowa valobasa roilo🥰❤️,n sha allah viyaaa onkonk dowa valobasa roilo🥰❤️,n sha allah viyaaa onkonk dowa valobasa roilo,2,,1,2,0,0,Supportive,Nonbullying
Allah borosa 😔,allah borosa 😔,allah borosa 😔,allah borosa ,0,,0,1,0,0,Supportive,Nonbullying
bhai Apni Akdom tension niben na amra shobai apner pashy asy allahor opor borsha rakhen r bhoy paben na ,bhai apni akdom tension niben na amra shobai apner pashy asy allahor opor borsha rakhen r bhoy paben na ,bhai apni akdom tension niben na amra shobai apner pashy asy allahor opor borsha rakhen r bhoy paben na,bhai apni akdom tension niben na amra shobai apner pashy asy allahor opor borsha rakhen r bhoy paben na,1,,0,0,0,0,Supportive,Nonbullying
Tumar jonno onek doua ar valobasha,tumar jonno onek doua ar valobasha,tumar jonno onek doua ar valobasha,tumar jonno onek doua ar valobasha,0,,0,0,0,0,Supportive,Nonbullying
Fi amanillah.. Abr fire ashbn vai amdr maje.. Apnk ashtei hobe Afridi vai. Pary for you.. ❤️,fi amanillah abr fire ashbn vai amdr maje apnk ashtei hobe afridi vai pary for you ❤️,fi amanillah abr fire ashbn vai amdr maje apnk ashtei hobe afridi vai pary for you ❤️,fi amanillah abr fire ashbn vai amdr maje apnk ashtei hobe afridi vai pary for you ,14,,7,1,0,0,Supportive,Nonbullying
Allah apnk susthota dan koruk apni jeno abr sadharon manus er pase darate paren doya roilo🤲,allah apnk susthota dan koruk apni jeno abr sadharon manus er pase darate paren doya roilo🤲,allah apnk susthota dan koruk apni jeno abr sadharon manus ar pase darate paren doya roilo🤲,allah apnk susthota dan koruk apni jeno abr sadharon manus ar pase darate paren doya roilo,1,,0,1,0,0,Supportive,Nonbullying
Best of luck vaii khuv taratari sustho hoye otho ❤❤,best of luck vaii khuv taratari sustho hoye otho ❤❤,best of luck vaii khuv taratari sustho hoye otho ❤❤,best of luck vaii khuv taratari sustho hoye otho ,1,,0,0,0,1,Supportive,Nonbullying
Kicchu hobe na tomar ...🙂,kicchu hobe na tomar 🙂,kicchu hobe na tomar 🙂,kicchu hobe na tomar ,0,,3,1,0,0,Normal_comment,Nonbullying
"Mone vorosa rakho,,🖤",mone vorosa rakho🖤,mone vorosa rakho🖤,mone vorosa rakho,0,,2,1,0,0,Supportive,Nonbullying
Allah obossoi valo kichui likhe rekhechen 💙 Best of luck ,allah obossoi valo kichui likhe rekhechen 💙 best of luck ,allah obossoi valo kichui likhe rekhechen 💙 best of luck,allah obossoi valo kichui likhe rekhechen  best of luck,0,,0,1,0,2,Supportive,Nonbullying
Doua kori inshallah apni shushtho hoye sov somoy amader majhe thakban apnar jonno onek doua ar valo basha❤️,doua kori inshallah apni shushtho hoye sov somoy amader majhe thakban apnar jonno onek doua ar valo basha❤️,doua kori inshallah apni shushtho hoye sov somoy amader majhe thakban apnar jonno onek doua ar valo basha❤️,doua kori inshallah apni shushtho hoye sov somoy amader majhe thakban apnar jonno onek doua ar valo basha,1,,0,1,0,2,Supportive,Nonbullying
Masha Allah.. Apnar o Show off er jonno onek Valobasha o shuvo kamona roilo.…,masha allah apnar o show off er jonno onek valobasha o shuvo kamona roilo…,masha allah apnar o show off ar jonno onek valobasha o shuvo kamona roilo…,masha allah apnar o show off ar jonno onek valobasha o shuvo kamona roilo…,4,,3,0,0,0,Supportive,Nonbullying
Comment গুলা এতো আসতাগফিরুল্লাহ কেনো,comment গুলা এতো আসতাগফিরুল্লাহ কেনো,comment গুলা এতো আসতাগফিরুল্লাহ কেনো,comment গুলা এতো আসতাগফিরুল্লাহ কেনো,0,,0,0,0,0,Normal_comment,Nonbullying
just chillay heshe dichi 😆 ekdom uchit hoiche 😆😆,just chillay heshe dichi 😆 ekdom uchit hoiche 😆😆,just chillay heshe dichi 😆 ekdom uchit hoiche 😆😆,just chillay heshe dichi  ekdom uchit hoiche ,1,,0,3,0,0,Happy,Nonbullying
অন্যের উপরে প্রাংক করলে কেমন লাগে এবার বুঝছে বেচারা। Thank you Siam vai 🫡,অন্যের উপরে প্রাংক করলে কেমন লাগে এবার বুঝছে বেচারা। thank you siam vai 🫡,অন্যের উপরে প্রাংক করলে কেমন লাগে এবার বুঝছে বেচারা। thank you siam vai 🫡,অন্যের উপরে প্রাংক করলে কেমন লাগে এবার বুঝছে বেচারা। thank you siam vai ,1,,0,1,0,0,Supportive,Nonbullying
Personally ami apnake khub valo kore chini bhai..... take love 🥰🥀,personally ami apnake khub valo kore chini bhai take love 🥰🥀,personally ami apnake khub valo kore chini bhai take love 🥰🥀,personally ami apnake khub valo kore chini bhai take love ,1,,5,2,0,2,Supportive,Nonbullying
Hagl der akta movie o dakhini baler hero baler heroin,hagl der akta movie o dakhini baler hero baler heroin,hagl der akta movie o dakhini baler hero baler heroin,hagl der akta movie o dakhini baler hero baler heroin,0,,0,0,0,0,Aggressive,Bullying
Ononto jolil sir khub sadharon sohoj sorol  manush. Ato pachal ar dorkar nae..,ononto jolil sir khub sadharon sohoj sorol  manush ato pachal ar dorkar nae,ononto jolil sir khub sadharon sohoj sorol  manush ato pachal ar dorkar nae,ononto jolil sir khub sadharon sohoj sorol  manush ato pachal ar dorkar nae,0,,3,0,0,0,Normal_comment,Nonbullying
"Ato paro bolaito tumi YouTuber, He is a Businessman!",ato paro bolaito tumi youtuber he is a businessman!,ato paro bolaito tumi youtuber he is a businessman!,ato paro bolaito tumi youtuber he is a businessman!,0,,2,0,0,0,Normal_comment,Nonbullying
Comment gulo dekhlei bojha jay je ai video post korse takei sobai dhuye dise😄😄😄,comment gulo dekhlei bojha jay je ai video post korse takei sobai dhuye dise😄😄😄,comment gulo dekhlei bojha jay je ai video post korse takei sobai dhuye dise😄😄😄,comment gulo dekhlei bojha jay je ai video post korse takei sobai dhuye dise,0,,0,3,0,0,Normal_comment,Nonbullying
Apnara jara   onar kotar  vul doresen    ..  Ata tik koren nai...  Onek somoy  ansoolikotar karone amn suna jay..  Tasara uni london teke boro hoyese unar vul  doren ki vabe…,apnara jara   onar kotar  vul doresen      ata tik koren nai  onek somoy  ansoolikotar karone amn suna jay  tasara uni london teke boro hoyese unar vul  doren ki vabe…,apnara jara   onar kotar  vul doresen      ata tik koren nai  onek somoy  ansoolikotar karone amn suna jay  tasara uni london teke boro hoyese unar vul  doren ki vabe…,apnara jara   onar kotar  vul doresen      ata tik koren nai  onek somoy  ansoolikotar karone amn suna jay  tasara uni london teke boro hoyese unar vul  doren ki vabe…,0,,7,0,0,0,Normal_comment,Nonbullying
অন্যের ভুল ধরার আগে নিজের বাংলা উচ্চারণ গুলো আগে ঠিক করুন । দেখেন পারেন কিনা!,অন্যের ভুল ধরার আগে নিজের বাংলা উচ্চারণ গুলো আগে ঠিক করুন । দেখেন পারেন কিনা!,অন্যের ভুল ধরার আগে নিজের বাংলা উচ্চারণ গুলো আগে ঠিক করুন । দেখেন পারেন কিনা!,অন্যের ভুল ধরার আগে নিজের বাংলা উচ্চারণ গুলো আগে ঠিক করুন । দেখেন পারেন কিনা!,0,,1,0,0,0,Normal_comment,Nonbullying
"Uni na bolen Manchester a porashuna korechen, tahole uchcharoner ai obosta keno.",uni na bolen manchester a porashuna korechen tahole uchcharoner ai obosta keno,uni na bolen manchester a porashuna korechen tahole uchcharoner ai obosta keno,uni na bolen manchester a porashuna korechen tahole uchcharoner ai obosta keno,0,,2,0,0,0,Normal_comment,Bullying
Zar zar Gramer bhasai .. Tar tar kase shuddho  bhasa,zar zar gramer bhasai  tar tar kase shuddho  bhasa,zar zar gramer bhasai  tar tar kase shuddho  bhasa,zar zar gramer bhasai  tar tar kase shuddho  bhasa,0,,2,0,0,0,Normal_comment,Nonbullying
Manush ta valo i think unake niye trolling ta koman..amon to onekei bole thake.. Ai je YouTuber tor ki kono shomoy kotha te vul hoy nai stupid 🤬🤬....,manush ta valo i think unake niye trolling ta komanamon to onekei bole thake ai je youtuber tor ki kono shomoy kotha te vul hoy nai stupid 🤬🤬,manush ta valo i think unake niye trolling ta komanamon to onekei bole thake ai je youtuber tor ki kono shomoy kotha te vul hoy nai stupid 🤬🤬,manush ta valo i think unake niye trolling ta komanamon to onekei bole thake ai je youtuber tor ki kono shomoy kotha te vul hoy nai stupid ,0,,8,2,0,1,Normal_comment,Bullying
Shahosh thakle robot diye bolano bad diye nijer voice use koren to dekhi vi. Dekhi koto shuddho kore bolte paren.,shahosh thakle robot diye bolano bad diye nijer voice use koren to dekhi vi dekhi koto shuddho kore bolte paren,shahosh thakle robot diye bolano bad diye nijer voice use koren to dekhi vi dekhi koto shuddho kore bolte paren,shahosh thakle robot diye bolano bad diye nijer voice use koren to dekhi vi dekhi koto shuddho kore bolte paren,0,,2,0,0,0,Normal_comment,Nonbullying
