comments,process_comments,spell_correct_with_emo,spell_correct_without_emo,likes,Related_to_post,punc_number,emoji_number,abusive_word_number,positive_word_number,Bsentiment,label
আবু জাহেল এর উত্তরসূরী হাসিনা,আবু জাহেল এর উত্তরসূরী হাসিনা,আবু জাহেল এর উত্তরসূরী হাসিনা,আবু জাহেল এর উত্তরসূরী হাসিনা,0,1,0,0,0,0,Aggressive,Bullying
ki chilo eta🤣🤣🤣🤣🤣🤣,ki chilo eta🤣🤣🤣🤣🤣🤣,ki chilo eta🤣🤣🤣🤣🤣🤣,ki chilo eta,0,1,0,6,0,0,Normal_comment,Neutral
তরে হাইলে মুই এক্কেরে হাচরাই মারি হালাইয়ুম,তরে হাইলে মুই এক্কেরে হাচরাই মারি হালাইয়ুম,তরে হাইলে মুই এক্কেরে হাচরাই মারি হালাইয়ুম,তরে হাইলে মুই এক্কেরে হাচরাই মারি হালাইয়ুম,0,1,0,0,1,0,Aggressive,Bullying
নিশ্চ্য় আল্লাহ ছাড় দেন ছেড়ে দেন না,নিশ্চ্য় আল্লাহ ছাড় দেন ছেড়ে দেন না,নিশ্চ্য় আল্লাহ ছাড় দেন ছেড়ে দেন না,নিশ্চ্য় আল্লাহ ছাড় দেন ছেড়ে দেন না,5,1,0,0,0,1,Normal_comment,Neutral
"হাসতে হাসতে পেট ফেটে  গেল


",হাসতে হাসতে পেট ফেটে  গেল,হাসতে হাসতে পেট ফেটে  গেল,হাসতে হাসতে পেট ফেটে  গেল,0,1,0,0,0,2,Happy,Nonbullying
আমার তো জীবন নাই ।।,আমার তো জীবন নাই ।।,আমার তো জীবন নাই ।।,আমার তো জীবন নাই ।।,1,1,0,0,0,0,Normal_comment,Nonbullying
khusi hte parlm na.abr naga chaitonnor sathe hle khub khusi htm,khusi hte parlm naabr naga chaitonnor sathe hle khub khusi htm,khusi hte parlm naabr naga chaitonnor sathe hle khub khusi htm,khusi hte parlm naabr naga chaitonnor sathe hle khub khusi htm,0,1,1,0,0,2,Normal_comment,Neutral
😭😭😭😭 আহ্ জীবন কত কঠিন,😭😭😭😭 আহ্ জীবন কত কঠিন,😭😭😭😭 আহ্ জীবন কত কঠিন, আহ্ জীবন কত কঠিন,1,1,0,4,0,0,Sad,Nonbullying
mon chay kamraya kamraya pora sorir khaya feli,mon chay kamraya kamraya pora sorir khaya feli,mon chay kamraya kamraya pora shorir khaia feli,mon chay kamraya kamraya pora shorir khaia feli,0,1,0,0,3,0,Abusive,Bullying
শিব একটা ধর্ষক ছিল  সে ৬০ হাজার কুমারী মেয়েকে ধর্ষণ করেছিল  তাই শিব লিঙ্গ ধর্ষণের প্রতীক ,শিব একটা ধর্ষক ছিল  সে ৬০ হাজার কুমারী মেয়েকে ধর্ষণ করেছিল  তাই শিব লিঙ্গ ধর্ষণের প্রতীক ,শিব একটা ধর্ষক ছিল  সে ৬০ হাজার কুমারী মেয়েকে ধর্ষণ করেছিল  তাই শিব লিঙ্গ ধর্ষণের প্রতীক,শিব একটা ধর্ষক ছিল  সে ৬০ হাজার কুমারী মেয়েকে ধর্ষণ করেছিল  তাই শিব লিঙ্গ ধর্ষণের প্রতীক,0,1,0,0,0,0,Abusive,Bullying
হিন্দুর বাচ্চারা আসলে একেকটা খবিস ,হিন্দুর বাচ্চারা আসলে একেকটা খবিস ,হিন্দুর বাচ্চারা আসলে একেকটা খবিস,হিন্দুর বাচ্চারা আসলে একেকটা খবিস,0,1,0,0,1,0,Abusive,Bullying
amader desh to tai kono bicahr nai ,amader desh to tai kono bicahr nai ,amader desh to tai kono bicahr nai,amader desh to tai kono bicahr nai,0,1,0,0,0,0,Sad,Nonbullying
chokher jol thamate parini sedin,chokher jol thamate parini sedin,chokher jol thamate parini sedin,chokher jol thamate parini sedin,1,1,0,0,0,1,Sad,Nonbullying
 মাইরা মালাউনগরে বর্বর জাতিদেরকে গাধার বাচ্চার থেকেও অধমদেরকে , মাইরা মালাউনগরে বর্বর জাতিদেরকে গাধার বাচ্চার থেকেও অধমদেরকে ,মাইরা মালাউনগরে বর্বর জাতিদেরকে গাধার বাচ্চার থেকেও অধমদেরকে,মাইরা মালাউনগরে বর্বর জাতিদেরকে গাধার বাচ্চার থেকেও অধমদেরকে,0,1,0,0,2,0,Abusive,Bullying
এত মিষ্টি একটা বাচ্চাকে কেউ কিভাবে মারতে পারে,এত মিষ্টি একটা বাচ্চাকে কেউ কিভাবে মারতে পারে,এত মিষ্টি একটা বাচ্চাকে কেউ কিভাবে মারতে পারে,এত মিষ্টি একটা বাচ্চাকে কেউ কিভাবে মারতে পারে,0,1,0,0,0,0,Normal_comment,Nonbullying
আমি কিছু অনাত শিশুদের জন্যে একটি আচরণের ব‍্যাবস্থা করতে চাই। সবাই  দোয়া করবেন আল্লাহ্ যেন আমার মনের আসা পুরুন করেন।,আমি কিছু অনাত শিশুদের জন্যে একটি আচরণের ব‍্যাবস্থা করতে চাই। সবাই  দোয়া করবেন আল্লাহ্ যেন আমার মনের আসা পুরুন করেন।,আমি কিছু অনাত শিশুদের জন্যে একটি আচরণের ব‍্যাবস্থা করতে চাই। সবাই  দোয়া করবেন আল্লাহ্ যেন আমার মনের আসা পুরুন করেন।,আমি কিছু অনাত শিশুদের জন্যে একটি আচরণের ব‍্যাবস্থা করতে চাই। সবাই  দোয়া করবেন আল্লাহ্ যেন আমার মনের আসা পুরুন করেন।,4,1,0,0,0,0,Normal_comment,Nonbullying
ওমা আননে দেহি নোয়াখাইল্লা ভাষা বেকগিন হারেন,ওমা আননে দেহি নোয়াখাইল্লা ভাষা বেকগিন হারেন,ওমা আননে দেহি নোয়াখাইল্লা ভাষা বেকগিন হারেন,ওমা আননে দেহি নোয়াখাইল্লা ভাষা বেকগিন হারেন,0,1,0,0,0,0,Normal_comment,Nonbullying
nastiker gusti tomra jahannamer rasta dia probesh korba,nastiker gusti tomra jahannamer rasta dia probesh korba,nastiker gusti tomra jahannamer rasta dia probesh korba,nastiker gusti tomra jahannamer rasta dia probesh korba,0,1,0,0,2,0,Abusive,Bullying
প্রধানমন্ত্রী সঠিক কথাই বলেছেন।,প্রধানমন্ত্রী সঠিক কথাই বলেছেন।,প্রধানমন্ত্রী সঠিক কথাই বলেছেন।,প্রধানমন্ত্রী সঠিক কথাই বলেছেন।,3,1,0,0,0,0,Normal_comment,Nonbullying
টিকবেনা বেশিদিন...,টিকবেনা বেশিদিন,টিকবেনা বেশিদিন,টিকবেনা বেশিদিন,0,1,3,0,0,0,Normal_comment,Neutral
এমন কোনো জিনিস দাও যেটা উনার সত্যিই  খুবই প্রয়োজন। অপ্রয়োজনীয় জিনিস দেওয়া ঠিক না।,এমন কোনো জিনিস দাও যেটা উনার সত্যিই  খুবই প্রয়োজন। অপ্রয়োজনীয় জিনিস দেওয়া ঠিক না।,এমন কোনো জিনিস দাও যেটা উনার সত্যিই  খুবই প্রয়োজন। অপ্রয়োজনীয় জিনিস দেওয়া ঠিক না।,এমন কোনো জিনিস দাও যেটা উনার সত্যিই  খুবই প্রয়োজন। অপ্রয়োজনীয় জিনিস দেওয়া ঠিক না।,0,1,0,0,0,0,Normal_comment,Nonbullying
sotti bolchi chokher jol chole alo,sotti bolchi chokher jol chole alo,sotti bolchi chokher jol chole alo,sotti bolchi chokher jol chole alo,0,1,0,0,0,1,Sad,Nonbullying
জব্বর হাসি পাইলাম,জব্বর হাসি পাইলাম,জব্বর হাসি পাইলাম,জব্বর হাসি পাইলাম,16,1,0,0,0,1,Happy,Nonbullying
 সাব্বাস পাকিস্তান মালাউনদের দংস করে দিতে হবে , সাব্বাস পাকিস্তান মালাউনদের দংস করে দিতে হবে ,সাব্বাস পাকিস্তান মালাউনদের দংস করে দিতে হবে,সাব্বাস পাকিস্তান মালাউনদের দংস করে দিতে হবে,0,1,0,0,0,0,Abusive,Bullying
dawat paitam tahole ekta kotha cilo..tokhon  news sunleo valo lagto...r ekhon sukno mukhe raag hocche😡,dawat paitam tahole ekta kotha cilotokhon  news sunleo valo lagtor ekhon sukno mukhe raag hocche😡,dawat paitam tahole ekta kotha cilotokhon  news sunleo valo lagtor ekhon sukno mukhe raag hocche😡,dawat paitam tahole ekta kotha cilotokhon  news sunleo valo lagtor ekhon sukno mukhe raag hocche,1,1,5,1,0,1,Normal_comment,Neutral
highlights | bangladesh vs papua new guinea | বাংলাদেশের অসাধারণ জয়ে সুপার টুয়েলভ নিশ্চিত-,highlights | bangladesh vs papua new guinea | বাংলাদেশের অসাধারণ জয়ে সুপার টুয়েলভ নিশ্চিত,highlights | bangladesh vs papua new guinea | বাংলাদেশের অসাধারণ জয়ে সুপার টুয়েলভ নিশ্চিত,highlights | bangladesh vs papua new guinea | বাংলাদেশের অসাধারণ জয়ে সুপার টুয়েলভ নিশ্চিত,0,0,3,0,0,1,Meaningless,Neutral
"চোখের হানি ধরি রাইখতে হারিলাম নো , আল্লাহ তুই মাপ করি দের",চোখের হানি ধরি রাইখতে হারিলাম নো  আল্লাহ তুই মাপ করি দের,চোখের হানি ধরি রাইখতে হারিলাম নো  আল্লাহ তুই মাপ করি দের,চোখের হানি ধরি রাইখতে হারিলাম নো  আল্লাহ তুই মাপ করি দের,0,1,1,0,0,1,Sad,Nonbullying
than kiuu so মাছ . ha ha ha,than kiuu so মাছ  ha ha ha,than kiuu so মাছ  ha ha ha,than kiuu so মাছ  ha ha ha,0,1,1,0,0,0,Happy,Nonbullying
namaj is always best,namaj is always best,namaj is always best,namaj is always best,0,1,0,0,0,1,Supportive,Nonbullying
সেক্সি বেবি,সেক্সি বেবি,সেক্সি বেবি,সেক্সি বেবি,0,1,0,0,1,0,Abusive,Bullying
ganjar nesha sesh oisena er lagi ota mater,ganjar nesha sesh oisena er lagi ota mater,ganjar nesha sesh oisena ar lagi ota mater,ganjar nesha sesh oisena ar lagi ota mater,2,1,0,0,2,0,Aggressive,Bullying
ek joner jnno ato joner koshto,ek joner jnno ato joner koshto,ek joner jnno ato joner koshto,ek joner jnno ato joner koshto,0,1,0,0,0,1,Sad,Nonbullying
"allah apni bichar koiren,",allah apni bichar koiren,allah apni bichar koiren,allah apni bichar koiren,1,1,1,0,0,0,Aggressive,Bullying
এই টা কোন জায়গায় ভাইয়া আমি এই ছেলেটার পাশে দাঁড়াতে চাই দয়া করে আমাকে জানাবেন,এই টা কোন জায়গায় ভাইয়া আমি এই ছেলেটার পাশে দাঁড়াতে চাই দয়া করে আমাকে জানাবেন,এই টা কোন জায়গায় ভাইয়া আমি এই ছেলেটার পাশে দাঁড়াতে চাই দয়া করে আমাকে জানাবেন,এই টা কোন জায়গায় ভাইয়া আমি এই ছেলেটার পাশে দাঁড়াতে চাই দয়া করে আমাকে জানাবেন,2,1,0,0,0,0,Supportive,Nonbullying
খুব তাড়াতাড়ি মুসলিম ধংশো হবেই,খুব তাড়াতাড়ি মুসলিম ধংশো হবেই,খুব তাড়াতাড়ি মুসলিম ধংশো হবেই,খুব তাড়াতাড়ি মুসলিম ধংশো হবেই,0,1,0,0,0,0,Abusive,Bullying
মার হালারে 😂,মার হালারে 😂,মার হালারে 😂,মার হালারে ,0,1,0,1,1,0,Aggressive,Bullying
সব কিছু  মিলে  দারুণ তোমার কথা,সব কিছু  মিলে  দারুণ তোমার কথা,সব কিছু  মিলে  দারুণ তোমার কথা,সব কিছু  মিলে  দারুণ তোমার কথা,7,1,0,0,0,0,Normal_comment,Neutral
ranu mondol er nightyr sathe jutor color ta thik match holo na..,ranu mondol er nightyr sathe jutor color ta thik match holo na,ranu mondol ar nightyr sathe jutor color ta thik match holo na,ranu mondol ar nightyr sathe jutor color ta thik match holo na,0,1,2,0,0,0,Normal_comment,Nonbullying
khanki magi.. bokachoda ranu mandal..,khanki magi bokachoda ranu mandal,khanki magi bokachoda ranu mandal,khanki magi bokachoda ranu mandal,0,1,4,0,2,0,Abusive,Bullying
আপনাদের মত মেয়ে দের জুতা মারা দরকার ,আপনাদের মত মেয়ে দের জুতা মারা দরকার ,আপনাদের মত মেয়ে দের জুতা মারা দরকার,আপনাদের মত মেয়ে দের জুতা মারা দরকার,0,1,0,0,0,0,Abusive,Bullying
সেরা 🤣🤣,সেরা 🤣🤣,সেরা 🤣🤣,সেরা ,4,1,0,2,0,1,Happy,Nonbullying
jonoshomukkhe fashi karjokor kora hok,jonoshomukkhe fashi karjokor kora hok,jonoshomukkhe fashi karjokor kora hok,jonoshomukkhe fashi karjokor kora hok,3,1,0,0,0,0,Aggressive,Bullying
nice🙂,nice🙂,nice🙂,nice,0,1,0,1,0,0,Supportive,Nonbullying
ranu pagli 🐗🐗🐗🐗🐗🐗🐀🐀🐀🐀🐶🐶🐶🐶🐶🐶,ranu pagli 🐗🐗🐗🐗🐗🐗🐀🐀🐀🐀🐶🐶🐶🐶🐶🐶,ranu pagol 🐗🐗🐗🐗🐗🐗🐀🐀🐀🐀🐶🐶🐶🐶🐶🐶,ranu pagol ,0,1,0,16,0,0,Aggressive,Bullying
hashte hashte muk fati gese bodda,hashte hashte muk fati gese bodda,hashte hashte muk fati gese bodda,hashte hashte muk fati gese bodda,0,1,0,0,0,0,Happy,Nonbullying
আমার মনটা ভালো হয়ে গেল,আমার মনটা ভালো হয়ে গেল,আমার মনটা ভালো হয়ে গেল,আমার মনটা ভালো হয়ে গেল,9,1,0,0,0,1,Happy,Nonbullying
wow so sweet,wow so sweet,wow so sweet,wow so sweet,0,1,0,0,0,1,Supportive,Nonbullying
আইছমকা চোহের হানি গড়গড়ই হরি যাইয়ের,আইছমকা চোহের হানি গড়গড়ই হরি যাইয়ের,আইছমকা চোহের হানি গড়গড়ই হরি যাইয়ের,আইছমকা চোহের হানি গড়গড়ই হরি যাইয়ের,0,1,0,0,0,0,Sad,Nonbullying
chudir vai alaka dekhte asechis to rate jigges korchis kno,chudir vai alaka dekhte asechis to rate jigges korchis kno,chudir vai alaka dekhte asechis to rate jigges korchis kno,chudir vai alaka dekhte asechis to rate jigges korchis kno,0,1,0,0,1,0,Aggressive,Bullying
"meye jater kolonko tora magi , kon potitaloy thakoch tore paile toer fita chira ditam kutta dia chudaitam tore",meye jater kolonko tora magi  kon potitaloy thakoch tore paile toer fita chira ditam kutta dia chudaitam tore,meye jater kolonko tora magi  kon potitaloy thakoch tore paile toer fita chira ditam kutta dia chudaitam tore,meye jater kolonko tora magi  kon potitaloy thakoch tore paile toer fita chira ditam kutta dia chudaitam tore,0,1,1,0,4,0,Abusive,Bullying
কি ভাষা আল্লাহ গো ,কি ভাষা আল্লাহ গো ,কি ভাষা আল্লাহ গো,কি ভাষা আল্লাহ গো,6,1,0,0,0,1,Normal_comment,Neutral
লজ্জা না থাকলে আর বোধ শক্তি কম থাকলে কি করা?জুতার বারিতেও কাজ হবেনা,লজ্জা না থাকলে আর বোধ শক্তি কম থাকলে কি করাজুতার বারিতেও কাজ হবেনা,লজ্জা না থাকলে আর বোধ শক্তি কম থাকলে কি করাজুতার বারিতেও কাজ হবেনা,লজ্জা না থাকলে আর বোধ শক্তি কম থাকলে কি করাজুতার বারিতেও কাজ হবেনা,0,1,1,0,0,0,Aggressive,Bullying
banchod ayle ata kora tik na tor,banchod ayle ata kora tik na tor,banchod ayle ata kora tik na tor,banchod ayle ata kora tik na tor,3,1,0,0,1,0,Aggressive,Bullying
এই নরপিশাচের যদি ফাসি না হয় তাহলে আর কোন বিচার এদেশে আশা করা যাবে না।,এই নরপিশাচের যদি ফাসি না হয় তাহলে আর কোন বিচার এদেশে আশা করা যাবে না।,এই নরপিশাচের যদি ফাসি না হয় তাহলে আর কোন বিচার এদেশে আশা করা যাবে না।,এই নরপিশাচের যদি ফাসি না হয় তাহলে আর কোন বিচার এদেশে আশা করা যাবে না।,2,1,0,0,0,0,Normal_comment,Neutral
"মেয়েটা শুধু উশৃংখলই না, এক নম্বর এটেনশন সিকার।",মেয়েটা শুধু উশৃংখলই না এক নম্বর এটেনশন সিকার।,মেয়েটা শুধু উশৃংখলই না এক নম্বর এটেনশন সিকার।,মেয়েটা শুধু উশৃংখলই না এক নম্বর এটেনশন সিকার।,0,1,1,0,1,0,Aggressive,Bullying
ফালতু নিউজ,ফালতু নিউজ,ফালতু নিউজ,ফালতু নিউজ,7,1,0,0,1,0,Aggressive,Neutral
হালায় পাগল হইছে,হালায় পাগল হইছে,হালায় পাগল হইছে,হালায় পাগল হইছে,0,1,0,0,2,0,Aggressive,Bullying
আর কত কি দেখব।,আর কত কি দেখব।,আর কত কি দেখব।,আর কত কি দেখব।,2,1,0,0,0,0,Normal_comment,Neutral
haste haste pete khil dhore niyeche baba re🤣🤣🤣🤣🤣🤣🤣😂😂😁😁😁😁😁 ,haste haste pete khil dhore niyeche baba re🤣🤣🤣🤣🤣🤣🤣😂😂😁😁😁😁😁 ,haste haste pete khil dhore niyeche baba re🤣🤣🤣🤣🤣🤣🤣😂😂😁😁😁😁😁,haste haste pete khil dhore niyeche baba re,1,1,0,14,0,3,Happy,Nonbullying
Zar zar Gramer bhasai .. Tar tar kase shuddho  bhasa,zar zar gramer bhasai  tar tar kase shuddho  bhasa,zar zar gramer bhasai  tar tar kase shuddho  bhasa,zar zar gramer bhasai  tar tar kase shuddho  bhasa,0,1,2,0,0,0,Normal_comment,Nonbullying
that's so funny is v's,thats so funny is vs,thats so funny is vs,thats so funny is vs,2,1,2,0,0,1,Happy,Nonbullying
মাশরাফির মত নেতা বাংলাদেশে দরকার আছে।,মাশরাফির মত নেতা বাংলাদেশে দরকার আছে।,মাশরাফির মত নেতা বাংলাদেশে দরকার আছে।,মাশরাফির মত নেতা বাংলাদেশে দরকার আছে।,0,1,0,0,0,0,Normal_comment,Neutral
thakurda upore bose ace muslimder dorod ki kore bujhbe malaun,thakurda upore bose ace muslimder dorod ki kore bujhbe malaun,thakurda upore bose ace muslimder dorod ki kore bujhbe malaun,thakurda upore bose ace muslimder dorod ki kore bujhbe malaun,0,1,0,0,1,0,Abusive,Bullying
"sharuk putro...madok sebon koren na,,,k dite parbe gruntee.।।akta bisoy sobari..jana ace ,pap kintu bap ke o care na.....!",sharuk putromadok sebon koren nak dite parbe gruntee।।akta bisoy sobarijana ace pap kintu bap ke o care na!,sharuk putromadok sebon koren nak dite parbe gruntee।।akta bisoy sobarijana ace pap kintu bap ke o care na!,sharuk putromadok sebon koren nak dite parbe gruntee।।akta bisoy sobarijana ace pap kintu bap ke o care na!,0,1,16,0,0,0,Normal_comment,Neutral
ইয়া আল্লাহ আপনি সবাইকে বোঝার তৌফিক দান করুন আমীন।ভুল  হতেই পারে এটা নিয়ে হাসি ঠাট্টা না করাই ভালো ।,ইয়া আল্লাহ আপনি সবাইকে বোঝার তৌফিক দান করুন আমীন।ভুল  হতেই পারে এটা নিয়ে হাসি ঠাট্টা না করাই ভালো ।,ইয়া আল্লাহ আপনি সবাইকে বোঝার তৌফিক দান করুন আমীন।ভুল  হতেই পারে এটা নিয়ে হাসি ঠাট্টা না করাই ভালো ।,ইয়া আল্লাহ আপনি সবাইকে বোঝার তৌফিক দান করুন আমীন।ভুল  হতেই পারে এটা নিয়ে হাসি ঠাট্টা না করাই ভালো ।,14,1,0,0,0,3,Normal_comment,Neutral
pagli ranu,pagli ranu,pagol ranu,pagol ranu,0,1,0,0,0,0,Aggressive,Bullying
দজন ই খুব ছোট লোক,দজন ই খুব ছোট লোক,দজন ই খুব ছোট লোক,দজন ই খুব ছোট লোক,0,1,0,0,0,0,Normal_comment,Neutral
😃😃😃😃 pora 6ere tomar video d  ন উয়ঝ ০হজগ তদf fvek6i ☺ sera bhai sera 🤣,😃😃😃😃 pora 6ere tomar video d  ন উয়ঝ ০হজগ তদf fvek6i ☺ sera bhai sera 🤣,😃😃😃😃 pora 6ere tomar video d  ন উয়ঝ ০হজগ তদf fvek6i ☺ sera bhai sera 🤣, pora 6ere tomar video d  ন উয়ঝ ০হজগ তদf fvek6i  sera bhai sera ,0,1,0,5,0,2,Meaningless,Nonbullying
অসাধারণ অভিনয় ছিল ভাই হাসতে হাসতে আমি শেষ 😂😂😂😂 ,অসাধারণ অভিনয় ছিল ভাই হাসতে হাসতে আমি শেষ 😂😂😂😂 ,অসাধারণ অভিনয় ছিল ভাই হাসতে হাসতে আমি শেষ 😂😂😂😂,অসাধারণ অভিনয় ছিল ভাই হাসতে হাসতে আমি শেষ ,13,1,0,4,0,2,Happy,Nonbullying
ek kothay osdharon chlo ,ek kothay osdharon chlo ,ek kothay osdharon chlo,ek kothay osdharon chlo,5,1,0,0,0,0,Supportive,Nonbullying
বেবি বাম্প তো কাপড়ের ওপর থেকেও দেখানো যেত। সরাসরি পেট দেখানো কি দরকার ছিলো? অযথা!!,বেবি বাম্প তো কাপড়ের ওপর থেকেও দেখানো যেত। সরাসরি পেট দেখানো কি দরকার ছিলো অযথা!!,বেবি বাম্প তো কাপড়ের ওপর থেকেও দেখানো যেত। সরাসরি পেট দেখানো কি দরকার ছিলো অযথা!!,বেবি বাম্প তো কাপড়ের ওপর থেকেও দেখানো যেত। সরাসরি পেট দেখানো কি দরকার ছিলো অযথা!!,0,1,3,0,0,0,Normal_comment,Neutral
nice mama,nice mama,nice mama,nice mama,0,1,0,0,0,1,Supportive,Nonbullying
পনের বার দেখলাম সেই 🥰😁,পনের বার দেখলাম সেই 🥰😁,পনের বার দেখলাম সেই 🥰😁,পনের বার দেখলাম সেই ,6,1,0,2,0,0,Happy,Nonbullying
ভালোই বাঁশ দিলেন আলহামদুলিল্লাহ,ভালোই বাঁশ দিলেন আলহামদুলিল্লাহ,ভালোই বাঁশ দিলেন আলহামদুলিল্লাহ,ভালোই বাঁশ দিলেন আলহামদুলিল্লাহ,6,1,0,0,0,0,Normal_comment,Neutral
"হইইন্নির হুত হুডানি করছ কিলাই , বাল ভাঙ্গি দিয়াম",হইইন্নির হুত হুডানি করছ কিলাই  বাল ভাঙ্গি দিয়াম,হইইন্নির হুত হুডানি করছ কিলাই  বাল ভাঙ্গি দিয়াম,হইইন্নির হুত হুডানি করছ কিলাই  বাল ভাঙ্গি দিয়াম,0,1,1,0,2,0,Abusive,Bullying
বেইশ্যার জন্মের ফসল মাগি  ,বেইশ্যার জন্মের ফসল মাগি  ,বেইশ্যার জন্মের ফসল মাগি,বেইশ্যার জন্মের ফসল মাগি,0,1,0,0,2,0,Abusive,Bullying
yes brooo,yes brooo,yes brooo,yes brooo,0,1,0,0,0,0,Supportive,Nonbullying
op👍👍👍,op👍👍👍,op👍👍👍,op,0,1,0,3,0,0,Meaningless,Nonbullying
এসব জিনিস নিউজ করার কি আছে।,এসব জিনিস নিউজ করার কি আছে।,এসব জিনিস নিউজ করার কি আছে।,এসব জিনিস নিউজ করার কি আছে।,0,1,0,0,0,0,Normal_comment,Nonbullying
hmm football a world cup anbo,hmm football a world cup anbo,hmm football a world cup anbo,hmm football a world cup anbo,0,1,0,0,0,0,Normal_comment,Neutral
ami haste pagol hoye gasi 😂😂😂😂😂😂😂how funny😂😂😂😂,ami haste pagol hoye gasi 😂😂😂😂😂😂😂how funny😂😂😂😂,ami haste pagol hoye gasi 😂😂😂😂😂😂😂how funny😂😂😂😂,ami haste pagol hoye gasi how funny,3,1,0,11,0,1,Happy,Nonbullying
ফুপ্পি মানেই জুশ 😆🤗 ,ফুপ্পি মানেই জুশ 😆🤗 ,ফুপ্পি মানেই জুশ 😆🤗,ফুপ্পি মানেই জুশ ,0,1,0,2,0,1,Happy,Nonbullying
ধু ধূ রুপ্রান্তর ছেড়ে আমার হৃদয়ের ঘাসে এসো,ধু ধূ রুপ্রান্তর ছেড়ে আমার হৃদয়ের ঘাসে এসো,ধু ধূ রুপ্রান্তর ছেড়ে আমার হৃদয়ের ঘাসে এসো,ধু ধূ রুপ্রান্তর ছেড়ে আমার হৃদয়ের ঘাসে এসো,2,1,0,0,0,0,Normal_comment,Nonbullying
driverless ai nlp blog post on  https://www.h2o.ai/blog/detecting-sarcasm-is-difficult-but-ai-may-have-an-answer/ ,driverless ai nlp blog post on   ,driverless ai nlp blog post on,driverless ai nlp blog post on,5,1,0,0,0,0,Meaningless,Neutral
এখনো কান্না আসে। প্রিয় হুমায়ুন আহমেদ স্যার ,এখনো কান্না আসে। প্রিয় হুমায়ুন আহমেদ স্যার ,এখনো কান্না আসে। প্রিয় হুমায়ুন আহমেদ স্যার,এখনো কান্না আসে। প্রিয় হুমায়ুন আহমেদ স্যার,12,1,0,0,0,2,Sad,Nonbullying
শুভ কামনা।,শুভ কামনা।,শুভ কামনা।,শুভ কামনা।,2,1,0,0,0,0,Supportive,Nonbullying
custom khelbi,custom khelbi,custom khelbi,custom khelbi,0,1,0,0,0,0,Aggressive,Bullying
Comment গুলা এতো আসতাগফিরুল্লাহ কেনো,comment গুলা এতো আসতাগফিরুল্লাহ কেনো,comment গুলা এতো আসতাগফিরুল্লাহ কেনো,comment গুলা এতো আসতাগফিরুল্লাহ কেনো,0,1,0,0,0,0,Normal_comment,Neutral
এটা তামিমার মত বদনা কাপনা,এটা তামিমার মত বদনা কাপনা,এটা তামিমার মত বদনা কাপনা,এটা তামিমার মত বদনা কাপনা,4,1,0,0,1,0,Aggressive,Bullying
