comments,likes,label,Bsentiment,Related_to_post
"Ami nei,, ma bokbe Parmission nai 😂",2,Neutral,Normal_comment,
Ata holo na porar bahana,3,Neutral,Normal_comment,
Khub sundor 😌,0,Nonbullying,Supportive,
Joy Maa Tara ,0,Nonbullying,Normal_comment,
Khub sundar lekha Sir. ,0,Nonbullying,Supportive,
Allah borosha kicho hobo nah vaiya apnr inshaallah ,6,Nonbullying,Supportive,
Sustho hoye otho onek poth chola baki a6eFrom kolkata ,9,Neutral,Normal_comment,
Ja hobe valo hobe vai onk pray kori❤️,2,Nonbullying,Supportive,
Duya roilo aponar jonn,0,Nonbullying,Supportive,
Allah tumk sustho korben in Sha Allah 🥺🥺,1,Nonbullying,Supportive,
n sha allah viyaaa Onk.onk dowa valobasa roilo🥰❤️,2,Nonbullying,Supportive,
Allah borosa 😔,0,Nonbullying,Supportive,
bhai Apni Akdom tension niben na amra shobai apner pashy asy allahor opor borsha rakhen r bhoy paben na ,1,Nonbullying,Supportive,
Tumar jonno onek doua ar valobasha,0,Nonbullying,Supportive,
Fi amanillah.. Abr fire ashbn vai amdr maje.. Apnk ashtei hobe Afridi vai. Pary for you.. ❤️,14,Nonbullying,Supportive,
Allah apnk susthota dan koruk apni jeno abr sadharon manus er pase darate paren doya roilo🤲,1,Nonbullying,Supportive,
Best of luck vaii khuv taratari sustho hoye otho ❤❤,1,Nonbullying,Supportive,
Kicchu hobe na tomar ...🙂,0,Nonbullying,Normal_comment,
"Mone vorosa rakho,,🖤",0,Nonbullying,Supportive,
Allah obossoi valo kichui likhe rekhechen 💙 Best of luck ,0,Nonbullying,Supportive,
Doua kori inshallah apni shushtho hoye sov somoy amader majhe thakban apnar jonno onek doua ar valo basha❤️,1,Nonbullying,Supportive,
Masha Allah.. Apnar o Show off er jonno onek Valobasha o shuvo kamona roilo.…,4,Nonbullying,Supportive,
Comment গুলা এতো আসতাগফিরুল্লাহ কেনো,0,Nonbullying,Normal_comment,
just chillay heshe dichi 😆 ekdom uchit hoiche 😆😆,1,Nonbullying,Happy,
অন্যের উপরে প্রাংক করলে কেমন লাগে এবার বুঝছে বেচারা। Thank you Siam vai 🫡,1,Nonbullying,Supportive,
Personally ami apnake khub valo kore chini bhai..... take love 🥰🥀,1,Nonbullying,Supportive,
Hagl der akta movie o dakhini baler hero baler heroin,0,Bullying,Aggressive,
Ononto jolil sir khub sadharon sohoj sorol  manush. Ato pachal ar dorkar nae..,0,Nonbullying,Normal_comment,
"Ato paro bolaito tumi YouTuber, He is a Businessman!",0,Nonbullying,Normal_comment,
Comment gulo dekhlei bojha jay je ai video post korse takei sobai dhuye dise😄😄😄,0,Nonbullying,Normal_comment,
Apnara jara   onar kotar  vul doresen    ..  Ata tik koren nai...  Onek somoy  ansoolikotar karone amn suna jay..  Tasara uni london teke boro hoyese unar vul  doren ki vabe…,0,Nonbullying,Normal_comment,
অন্যের ভুল ধরার আগে নিজের বাংলা উচ্চারণ গুলো আগে ঠিক করুন । দেখেন পারেন কিনা!,0,Nonbullying,Normal_comment,
"Uni na bolen Manchester a porashuna korechen, tahole uchcharoner ai obosta keno.",0,Bullying,Normal_comment,
Zar zar Gramer bhasai .. Tar tar kase shuddho  bhasa,0,Nonbullying,Normal_comment,
Manush ta valo i think unake niye trolling ta koman..amon to onekei bole thake.. Ai je YouTuber tor ki kono shomoy kotha te vul hoy nai stupid 🤬🤬....,0,Bullying,Normal_comment,
Shahosh thakle robot diye bolano bad diye nijer voice use koren to dekhi vi. Dekhi koto shuddho kore bolte paren.,0,Nonbullying,Normal_comment,
Vai vul apnk ke dhorte bolese.....ata vul na...ancholikota...... Se hoyto apnr moto smart houar jonno suddhovasay kotha bolenna but apnr theke valo moner manus seta bojha jay,0,Nonbullying,Normal_comment,
তুমি কি হেতো পারো।তুমার বুল অয় না,0,Nonbullying,Normal_comment,
Sotti bolti oni lekha pora kora nai.uneducated man.,0,Nonbullying,Normal_comment,
Ak ta manos jokhon valo kaj kora sata bad deya  sa vol ke  bolsa sata neya pora na onno  news khojan,0,Nonbullying,Normal_comment,
oi sumondhi  tui paris je ato vul dhoris,0,Bullying,Aggressive,
