process_comments,spell_correct_with_emo,spell_correct_without_emo,likes,Related_to_post,punc_number,emoji_number,abusive_word_number,positive_word_number,Bsentiment,label
onek sondor hoiche ai vedeio tah❤️,onek sondor hoiche ai vedeio tah❤️,onek sondor hoiche ai vedeio tah️,0,1,0,1,0,0,Supportive,Nonbullying
প্রধানমন্ত্রী এখানে খারাপ কি বলেছে ভালো বলেছে ধন্যবাদ হাসিনাকে,প্রধানমন্ত্রী এখানে খারাপ কি বলেছে ভালো বলেছে ধন্যবাদ হাসিনাকে,প্রধানমন্ত্রী এখানে খারাপ কি বলেছে ভালো বলেছে ধন্যবাদ হাসিনাকে,0,1,0,0,1,3,Supportive,Nonbullying
prodhanmontri ekhane kharap ki bolche valo e to bolche dhonnobad onake ,prodhanmontri ekhane kharap ki bolche valo e to bolche dhonnobad onake,prodhanmontri ekhane kharap ki bolche valo e to bolche dhonnobad onake,0,1,0,0,0,2,Supportive,Nonbullying
khub vlo hoyeche ajker video ta,khub valo hoyeche ajker video ta,khub valo hoyeche ajker video ta,0,1,0,0,0,1,Supportive,Nonbullying
পুরো ফাটিয়ে দিয়েছো বস 😄😄😄 কোনো কথা হবে না🙅 🤭 ,পুরো ফাটিয়ে দিয়েছো বস 😄😄😄 কোনো কথা হবে না🙅 🤭,পুরো ফাটিয়ে দিয়েছো বস  কোনো কথা হবে না ,0,1,0,5,0,1,Supportive,Nonbullying
"ok, have a relax!",ok have a relax!,ok have a relax!,0,1,2,0,0,0,Supportive,Nonbullying
nasir was a perfect breakthrough bowler,nasir was a perfect breakthrough bowler,nasir was a perfect breakthrough bowler,0,1,0,0,0,1,Supportive,Nonbullying
good luck,good luck,good luck,0,1,0,0,0,1,Supportive,Nonbullying
people can dream. what's so funny about it? don't you dream? we should dream because we are bengali in heart...,people can dream whats so funny about it dont you dream we should dream because we are bengali in heart,people can dream whats so funny about it dont you dream we should dream because we are bengali in heart,0,1,8,0,0,2,Supportive,Nonbullying
nasir er o national team e ferar shujog ase.,nasir ar o national team e ferar shujog ase,nasir ar o national team e ferar shujog ase,0,1,1,0,0,0,Supportive,Nonbullying
abossoi sujog ace..but tamima jodi inspiration dei tobe r ki!!!....... nasir tamimar celer hath dore seta asbe bole asa korci..,abossoi sujog acebut tamima jodi inspiration dei tobe r ki!!! nasir tamimar celer hath dore seta asbe bole asa korci,abossoi sujog acebut tamima jodi inspiration dei tobe r ki!!! nasir tamimar celer hath dore seta asbe bole asa korci,0,1,14,0,0,0,Supportive,Nonbullying
best of luck,best of luck,best of luck,0,1,0,0,0,1,Supportive,Nonbullying
nasir tumi thakla sure peto bangladesh..jei vabe tumi tamima ka paicho,nasir tumi thakla sure peto bangladeshjei vabe tumi tamima ka paicho,nasir tumi thakla sure peto bangladeshjei vabe tumi tamima ka paicho,0,1,2,0,0,1,Supportive,Nonbullying
come back to the game nasir's brother wants to see you on the field again,come back to the game nasirs brother wants to see you on the field again,come back to the game nasirs brother wants to see you on the field again,0,1,1,0,0,0,Supportive,Nonbullying
confident balo but over confident balo na!,confident balo but over confident balo na!,confident balo but over confident balo na!,0,1,1,0,0,2,Supportive,Nonbullying
ji bangladesh mhata woarld cup jetok ar tmi besanai jeteo,ji bangladesh mhata woarld cup jetok ar tmi besanai jeteo,ji bangladesh mhata woarld cup jetok ar tmi besanai jeteo,0,1,0,0,0,0,Supportive,Nonbullying
"তামিমাকে আমি খুব ভালোবাসি,,i love you tamima,,,but i also miss you tamima",তামিমাকে আমি খুব ভালোবাসিi love you tamimabut i also miss you tamima,তামিমাকে আমি খুব ভালোবাসিi love you tamimabut i also miss you tamima,0,1,5,0,0,1,Supportive,Nonbullying
alhamdulillah valoi korbe in shaa allah,alhamdulillah valoi korbe in shaa allah,alhamdulillah valoi korbe in shaa allah,0,1,0,0,0,1,Supportive,Nonbullying
"যে যাই বলুক, তুমিই দেশ সেরা ফিল্ডার  love u nasir",যে যাই বলুক তুমিই দেশ সেরা ফিল্ডার  love u nasir,যে যাই বলুক তুমিই দেশ সেরা ফিল্ডার  love u nasir,0,1,1,0,3,3,Supportive,Nonbullying
yes bhaiya,yes bhaiya,yes bhaiya,0,1,0,0,0,0,Supportive,Nonbullying
vai apni thikla hoto khala hoba suba apur sata,vai apni thikla hoto khala hoba suba apur sata,vai apni thikla hoto khala hoba suba apur sata,0,1,0,0,0,0,Supportive,Nonbullying
what a pose,what a pose,what a pose,0,1,0,0,0,0,Supportive,Nonbullying
nasir tor national team e khela jemon possible na temoni world cup o possible na jotodin liton er moto player team thakbe.,nasir tor national team e khela jemon possible na temoni world cup o possible na jotodin liton ar moto player team thakbe,nasir tor national team e khela jemon possible na temoni world cup o possible na jotodin liton ar moto player team thakbe,0,1,1,0,0,0,Supportive,Nonbullying
amin,amin,amin,0,1,0,0,0,1,Supportive,Nonbullying
impossible bro.,impossible bro,impossible bro,0,0,1,0,0,0,Supportive,Nonbullying
bangladesh semifinal khalba sure,bangladesh semifinal khalba sure,bangladesh semifinal khalba sure,0,1,0,0,0,1,Supportive,Nonbullying
onek miss kori vai apnak,onek miss kori vai apnak,onek miss kori vai apnak,0,1,0,0,0,0,Supportive,Nonbullying
insallah,inshallah,inshallah,0,1,0,0,0,1,Supportive,Nonbullying
"keno bhai, hasir patro hon.",keno bhai hasir patro hon,keno bhai hasir patro hon,0,1,2,0,0,0,Supportive,Nonbullying
vhay ata tamima apo na je ato sohoje paia jaben hala,vhay ata tamima apo na je ato sohoje paia jaben hala,vhay ata tamima apo na je ato sohoje paia jaben hala,0,1,0,0,1,0,Supportive,Nonbullying
namaj is always best,namaj is always best,namaj is always best,0,1,0,0,0,1,Supportive,Nonbullying
inshallah,inshallah,inshallah,0,1,0,0,0,1,Supportive,Nonbullying
tamima vabi bolle hoyte pare,tamima vabi bolle hoyte pare,tamima vabi bolle hoyte pare,0,1,0,0,0,0,Supportive,Nonbullying
grateful for you,grateful for you,grateful for you,0,1,0,0,0,0,Supportive,Nonbullying
nice🙂,nice🙂,nice,0,1,0,1,0,0,Supportive,Nonbullying
amra to chai na o come back koruk amader taka diye ora celebrity hoichey ar shai taka diye ora natok kore 😡😡😡,amra to chai na o come back koruk amader taka diye ora celebrity hoichey ar shai taka diye ora natok kore 😡😡😡,amra to chai na o come back koruk amader taka diye ora celebrity hoichey ar shai taka diye ora natok kore ,0,1,0,3,0,0,Supportive,Nonbullying
god bless you ৰানু,god bless you ৰানু,god bless you ৰানু,0,1,0,0,0,2,Supportive,Nonbullying
very attitude,very attitude,very attitude,0,1,0,0,0,1,Supportive,Nonbullying
🙊🙊🙊🙊😁😁nice yrr,🙊🙊🙊🙊😁😁nice yrr,nice yrr,0,1,0,6,0,0,Supportive,Nonbullying
vai ota jutor chap wala maxi...r jdi kichu ditei hy tle onke financially ba onar treatment r bybostha korun ..besi circus dekhte gechilen ulte  ekhne vai tomdr ee chechra r joker lgche..pls stop this nonsense 🙏,vai ota jutor chap wala maxir jdi kichu ditei hy tle onke financially ba onar treatment r bybostha korun besi circus dekhte gechilen ulte  ekhne vai tomdr ee chechra r joker lgchepls stop this nonsense 🙏,vai ota jutor chap wala maxir jdi kichu ditei hy tle onke financially ba onar treatment r bybostha korun besi circus dekhte gechilen ulte  ekhne vai tomdr ee chechra r joker lgchepls stop this nonsense ,0,1,7,1,3,1,Supportive,Nonbullying
didi matha thanda rakhon obar aktin valo na,didi matha thanda rakhon obar aktin valo na,didi matha thanda rakhon obar aktin valo na,0,1,0,0,0,1,Supportive,Nonbullying
"sbai mja nai,kau take susto korar chasta kore na",sbai mja naikau take susto korar chasta kore na,sbai mja naikau take susto korar chasta kore na,0,1,1,0,0,2,Supportive,Nonbullying
tomar voice ta darun,tomar voice ta darun,tomar voice ta darun,0,1,0,0,0,2,Supportive,Nonbullying
"oke niye vedio bansno chhere niye,,,oke dr dekhao",oke niye vedio bansno chhere niyeoke dr dekhao,oke niye vedio bansno chhere niyeoke dr dekhao,0,1,3,0,0,0,Supportive,Nonbullying
ato niche namanor ki darkar,ato niche namanor ki darkar,ato niche namanor ki darkar,0,1,0,0,0,0,Supportive,Nonbullying
why are you disturbing her?,why are you disturbing her,why are you disturbing her,0,1,1,0,0,0,Supportive,Nonbullying
oi tumi r okhane jeona,oi tumi r okhane jeona,oi tumi r okhane jeona,0,1,0,0,0,0,Supportive,Nonbullying
she is disturb lady she need help,she is disturb lady she need help,she is disturb lady she need help,0,1,0,0,0,1,Supportive,Nonbullying
nice video,nice video,nice video,0,1,0,0,0,1,Supportive,Nonbullying
movie er scene gulo darun😄😆😆😆😆dev er ta darun👏👏👏😆😆😆😆,movie ar scene gulo darun😄😆😆😆😆dev ar ta darun👏👏👏😆😆😆😆,movie ar scene gulo darundev ar ta darun,0,1,0,12,0,0,Supportive,Nonbullying
dada ki kore felle five m view omg😱😱😱,dada ki kore felle five m view omg😱😱😱,dada ki kore felle five m view omg,0,0,1,3,0,1,Supportive,Nonbullying
beautiful video 😄😄😄😄😄,beautiful video 😄😄😄😄😄,beautiful video ,0,1,0,5,0,1,Supportive,Nonbullying
super 🥰🥰,super 🥰🥰,super ,0,1,0,2,0,0,Supportive,Nonbullying
nice 😂😂😂😂😂😂,nice 😂😂😂😂😂😂,nice ,0,1,0,6,0,1,Supportive,Nonbullying
dada tumi chalia jaw khub val lagche,dada tumi chalia jaw khub val lagche,dada tumi chalia jaw khub val lagche,0,1,0,0,0,1,Supportive,Nonbullying
bangladesh theke dekhsi dada 🇧🇩,bangladesh theke dekhsi dada 🇧🇩,bangladesh theke dekhsi dada ,0,1,0,1,0,1,Supportive,Nonbullying
khub haslam bro.....😅,khub haslam bro😅,khub haslam bro,0,1,5,1,0,1,Supportive,Nonbullying
nice video 💯💯😊☺️☺️☺️😝 you 💗💗💗💗💗😂😅😂😂😂🤣🤣,nice video 💯💯😊☺️☺️☺️😝 you 💗💗💗💗💗😂😅😂😂😂🤣🤣,nice video ️️️ you ,0,1,0,19,0,1,Supportive,Nonbullying
awesome bro😎,awesome bro😎,awesome bro,0,1,0,1,0,1,Supportive,Nonbullying
phata 😀phati  😃😃😃😃,phata 😀phati  😃😃😃😃,phata phati  ,0,1,0,5,3,1,Supportive,Nonbullying
moja paichi…,moja paichi…,moja paichi…,0,1,0,0,0,1,Supportive,Nonbullying
super yrr 👌👌👌👌👌,super yrr 👌👌👌👌👌,super yrr ,0,1,0,5,0,0,Supportive,Nonbullying
so nice boss 👌 👌 😀,so nice boss 👌 👌 😀,so nice boss   ,0,1,0,3,0,1,Supportive,Nonbullying
sera video dada 😅😅😅😅😅😅,sera video dada 😅😅😅😅😅😅,sera video dada ,0,1,0,6,0,2,Supportive,Nonbullying
nice brother,nice brother,nice brother,0,1,0,0,0,1,Supportive,Nonbullying
bhalo laglo video ta dada love you,bhalo laglo video ta dada love you,bhalo laglo video ta dada love you,0,1,0,0,0,2,Supportive,Nonbullying
😂😂😂😂😂 fatafati,😂😂😂😂😂 fatafati, fatafati,0,1,0,5,0,2,Supportive,Nonbullying
great boss,great boss,great boss,0,1,0,0,0,1,Supportive,Nonbullying
nice bro wow,nice bro wow,nice bro wow,0,1,0,0,0,2,Supportive,Nonbullying
i like this video😊😊😋😋😋,i like this video😊😊😋😋😋,i like this video,0,1,0,5,0,0,Supportive,Nonbullying
bhai video is overpower,bhai video is overpower,bhai video is overpower,0,1,0,0,0,0,Supportive,Nonbullying
dada. nice,dada nice,dada nice,0,1,1,0,0,2,Supportive,Nonbullying
wowsome,wowsome,wowsome,0,1,0,0,0,1,Supportive,Nonbullying
solid video dada mud thik hoye gelo,solid video dada mud thik hoye gelo,solid video dada mud thik hoye gelo,0,1,0,0,0,1,Supportive,Nonbullying
nice mama,nice mama,nice mama,0,1,0,0,0,1,Supportive,Nonbullying
darun 😘😘😘😘,darun 😘😘😘😘,darun ,0,1,0,4,0,2,Supportive,Nonbullying
ওয়াও so sweet,ওয়াও so sweet,ওয়াও so sweet,0,1,0,0,0,1,Supportive,Nonbullying
yes brooo,yes brooo,yes brooo,0,1,0,0,0,0,Supportive,Nonbullying
i love u bhai,i love u bhai,i love u bhai,0,1,0,0,0,1,Supportive,Nonbullying
wow so sweet,wow so sweet,wow so sweet,0,1,0,0,0,1,Supportive,Nonbullying
osm dada darun laglo,osm dada darun laglo,osm dada darun laglo,0,1,0,0,0,4,Supportive,Nonbullying
all the best bosssss khub valo,all the best bosssss khub valo,all the best bosssss khub valo,0,1,0,0,0,2,Supportive,Nonbullying
boss shakib al hasan,boss shakib al hasan,boss shakib al hasan,0,1,0,0,0,0,Supportive,Nonbullying
valoi hoto tumi takle yark,valoi hoto tumi takle yark,valoi hoto tumi takle yark,0,1,0,0,0,1,Supportive,Nonbullying
plz follow me,plz follow me,plz follow me,0,1,0,0,0,0,Supportive,Nonbullying
"this problem of flood, which i consider to be a yearly disaster, has to be tackled in a totally planned manner with proper resource management. this can be done by implementing both short term solutions and long term ones. thr short ones will help in arresting this issue untill a more permanent solution arrives to completely mitigate it.",this problem of flood which i consider to be a yearly disaster has to be tackled in a totally planned manner with proper resource management this can be done by implementing both short term solutions and long term ones thr short ones will help in arresting this issue untill a more permanent solution arrives to completely mitigate it,this problem of flood which i consider to be a yearly disaster has to be tackled in a totally planned manner with proper resource management this can be done by implementing both short term solutions and long term ones thr short ones will help in arresting this issue untill a more permanent solution arrives to completely mitigate it,0,1,5,0,0,1,Supportive,Nonbullying
nirhiyo manusher upor attyachar korle  echara ki hobe,nirhiyo manusher upor attyachar korle  echara ki hobe,nirhiyo manusher upor attyachar korle  echara ki hobe,0,1,0,0,3,0,Supportive,Nonbullying
vai ota jutor chap wala maxi...r jdi kichu ditei hy tle onke financially ba onar treatment r bybostha korun ..besi circus dekhte gechilen ulte  ekhne vai tomdr ee chechra r joker lgche..pls stop this nonsense 🙏,vai ota jutor chap wala maxir jdi kichu ditei hy tle onke financially ba onar treatment r bybostha korun besi circus dekhte gechilen ulte  ekhne vai tomdr ee chechra r joker lgchepls stop this nonsense 🙏,vai ota jutor chap wala maxir jdi kichu ditei hy tle onke financially ba onar treatment r bybostha korun besi circus dekhte gechilen ulte  ekhne vai tomdr ee chechra r joker lgchepls stop this nonsense ,0,1,7,1,3,0,Supportive,Nonbullying
love u dada..op..,love u dadaop,love u dadaop,0,1,4,0,0,1,Supportive,Nonbullying
phata 😀phati  😃😃😃😃,phata 😀phati  😃😃😃😃,phata phati  ,0,1,0,5,3,0,Supportive,Nonbullying
wow so beautiful,wow so beautiful,wow so beautiful,0,1,0,0,0,2,Supportive,Nonbullying
i love this picture,i love this picture,i love this picture,0,1,0,0,0,1,Supportive,Nonbullying
ok,ok,ok,0,1,0,0,0,0,Supportive,Nonbullying
so lovely!,so lovely!,so lovely!,0,1,1,0,0,0,Supportive,Nonbullying
beautiful,beautiful,beautiful,0,1,0,0,0,1,Supportive,Nonbullying
vai anner video dehi ai hida oi gechi ,vai anner video dehi ai hida oi gechi,vai anner video dehi ai hida oi gechi,0,1,0,0,0,1,Supportive,Nonbullying
oma anne to dehi noakhailla kta beggin haren,oma anne to dehi noakhailla kta beggin haren,oma anne to dehi noakhailla kta beggin haren,0,1,0,0,0,0,Supportive,Nonbullying
tui ki hagol oi gechotti,tui ki hagol oi gechotti,tui ki hagol oi gechotti,0,1,0,0,1,0,Aggressive,Bullying
"ভাই আপনি একসময় অনেক ভালো খেলতেন, কিন্তু এখন আর ভালো খেলেনা  , ভালো খেলার চেষ্টা করেন",ভাই আপনি একসময় অনেক ভালো খেলতেন কিন্তু এখন আর ভালো খেলেনা   ভালো খেলার চেষ্টা করেন,ভাই আপনি একসময় অনেক ভালো খেলতেন কিন্তু এখন আর ভালো খেলেনা   ভালো খেলার চেষ্টা করেন,0,1,2,0,6,9,Supportive,Nonbullying
নিউজটা আরও সুন্দর করা যেত,নিউজটা আরও সুন্দর করা যেত,নিউজটা আরও সুন্দর করা যেত,0,1,0,0,0,1,Supportive,Nonbullying
osm broo আপনি একেবারে ঠিক,osm broo আপনি একেবারে ঠিক,osm broo আপনি একেবারে ঠিক,0,1,0,0,0,1,Supportive,Nonbullying
দাদা one million হয়ে গেলো congratuletion...,দাদা one million হয়ে গেলো congratuletion,দাদা one million হয়ে গেলো congratuletion,0,1,3,0,0,1,Supportive,Nonbullying
কথাটা কিন্তু রাইট বলছেন,কথাটা কিন্তু রাইট বলছেন,কথাটা কিন্তু রাইট বলছেন,0,1,0,0,0,0,Supportive,Nonbullying
আপু আপনাকে এই ড্রেসে দেখে ভাসা হারায় ফেলছি,আপু আপনাকে এই ড্রেসে দেখে ভাসা হারায় ফেলছি,আপু আপনাকে এই ড্রেসে দেখে ভাসা হারায় ফেলছি,0,1,0,0,0,0,Supportive,Nonbullying
নাসিরের ও ন্যাশনাল টিমে ফিরার সুযোগ আছে.,নাসিরের ও ন্যাশনাল টিমে ফিরার সুযোগ আছে,নাসিরের ও ন্যাশনাল টিমে ফিরার সুযোগ আছে,0,1,1,0,0,0,Supportive,Nonbullying
অনেক বেশি মিস করি ভাই আপনাকে,অনেক বেশি মিস করি ভাই আপনাকে,অনেক বেশি মিস করি ভাই আপনাকে,0,1,0,0,0,1,Supportive,Nonbullying
ইনশাআল্লাহ,ইনশাআল্লাহ,ইনশাআল্লাহ,0,1,0,0,0,0,Supportive,Nonbullying
"সবাই মজা নেয়, কেও তাকে সুস্থ করার চেষটা করে না",সবাই মজা নেয় কেও তাকে সুস্থ করার চেষটা করে না,সবাই মজা নেয় কেও তাকে সুস্থ করার চেষটা করে না,0,1,1,0,0,1,Supportive,Nonbullying
বস সাকিব আল হাসান,বস সাকিব আল হাসান,বস সাকিব আল হাসান,0,1,0,0,0,1,Supportive,Nonbullying
এই লাভ দিস পিক্সার ,এই লাভ দিস পিক্সার,এই লাভ দিস পিক্সার,0,1,0,0,0,1,Supportive,Nonbullying
ওকে,ওকে,ওকে,0,1,0,0,0,0,Supportive,Nonbullying
সো লাভ্লি!,সো লাভ্লি!,সো লাভ্লি!,0,1,1,0,0,0,Supportive,Nonbullying
বিউটিফুল,বিউটিফুল,বিউটিফুল,0,1,0,0,0,1,Supportive,Nonbullying
কিরে ভালা আঁচত তি তুই,কিরে ভালা আঁচত তি তুই,কিরে ভালা আঁচত তি তুই,0,1,0,0,0,0,Supportive,Nonbullying
ভাই আন্নের ভিডিউ দেহি আই হিদা অই গেচ্ছি,ভাই আন্নের ভিডিউ দেহি আই হিদা অই গেচ্ছি,ভাই আন্নের ভিডিউ দেহি আই হিদা অই গেচ্ছি,0,1,0,0,0,1,Supportive,Nonbullying
"আল্লাহ এদের সন্তান দে আমি  ,,টা বছর ধরে অপেক্ষায় আছি একটা সন্তানের মুখ দেখার জন্য,,,,, আল্লাহ হেদায়েত দান করুন",আল্লাহ এদের সন্তান দে আমি টা বছর ধরে অপেক্ষায় আছি একটা সন্তানের মুখ দেখার জন্য আল্লাহ হেদায়েত দান করুন,আল্লাহ এদের সন্তান দে আমি টা বছর ধরে অপেক্ষায় আছি একটা সন্তানের মুখ দেখার জন্য আল্লাহ হেদায়েত দান করুন,0,1,8,0,0,2,Supportive,Nonbullying
ছেলে হবে,ছেলে হবে,ছেলে হবে,0,1,0,0,0,0,Supportive,Nonbullying
সাব্বির কে আবার জাতীয় দলে দলে দেক তে চাই,সাব্বির কে আবার জাতীয় দলে দলে দেক তে চাই,সাব্বির কে আবার জাতীয় দলে দলে দেক তে চাই,0,1,0,0,0,0,Supportive,Nonbullying
"এই সব ভিডিও কাট বস আবার খেলাতে ফিরেছে,,,,,,,,,,,,,",এই সব ভিডিও কাট বস আবার খেলাতে ফিরেছে,এই সব ভিডিও কাট বস আবার খেলাতে ফিরেছে,0,1,13,0,0,1,Supportive,Nonbullying
ভালো হয়নি,ভালো হয়নি,ভালো হয়নি,0,1,0,0,0,2,Supportive,Nonbullying
সাব্বির এর মত ক্রিকেটে বাংলাদেশ কোন প্রয়োজন নেই,সাব্বির এর মত ক্রিকেটে বাংলাদেশ কোন প্রয়োজন নেই,সাব্বির এর মত ক্রিকেটে বাংলাদেশ কোন প্রয়োজন নেই,0,1,0,0,0,0,Supportive,Nonbullying
সাব্বির ভালো ছেলে,সাব্বির ভালো ছেলে,সাব্বির ভালো ছেলে,0,1,0,0,0,2,Supportive,Nonbullying
প্রিয় vai amader,প্রিয় vai amader,প্রিয় vai amader,0,1,0,0,0,1,Supportive,Nonbullying
আমি লাভ তোমরা,আমি লাভ তোমরা,আমি লাভ তোমরা,0,1,0,0,0,1,Supportive,Nonbullying
চালিয়ে যাও ভাই পাশে আছি অতীতের ধর্মঘটের,চালিয়ে যাও ভাই পাশে আছি অতীতের ধর্মঘটের,চালিয়ে যাও ভাই পাশে আছি অতীতের ধর্মঘটের,0,1,0,0,0,0,Supportive,Nonbullying
ভাই তুমি এত সুন্দর কতা বলতে পার,ভাই তুমি এত সুন্দর কতা বলতে পার,ভাই তুমি এত সুন্দর কতা বলতে পার,0,1,0,0,0,1,Supportive,Nonbullying
সেই হয়ছে ভাই,সেই হয়ছে ভাই,সেই হয়ছে ভাই,0,1,0,0,0,0,Supportive,Nonbullying
খুব সুন্দর হয়েছে,খুব সুন্দর হয়েছে,খুব সুন্দর হয়েছে,0,1,0,0,0,1,Supportive,Nonbullying
অসাধারণ হয়েছে,অসাধারণ হয়েছে,অসাধারণ হয়েছে,0,1,0,0,0,0,Supportive,Nonbullying
অনেক দিন পড়ে দেখলাম তুমার বিডিও,অনেক দিন পড়ে দেখলাম তুমার বিডিও,অনেক দিন পড়ে দেখলাম তুমার বিডিও,0,1,0,0,0,1,Supportive,Nonbullying
hmm...আমারো অলিম্পিক জয়ের সুযোগ আছে,hmmআমারো অলিম্পিক জয়ের সুযোগ আছে,hmmআমারো অলিম্পিক জয়ের সুযোগ আছে,0,1,3,0,0,0,Supportive,Nonbullying
দাদা one million হয়ে গেলো congratuletion...,দাদা one million hoye gelo congratuletion,দাদা one million হয়ে গেলো congratuletion,0,1,3,0,0,1,Supportive,Nonbullying
"আল্লাহ এদের সন্তান দে আমি 4,,,টা বছর ধরে অপেক্ষায় আছি একটা সন্তানের মুখ দেখার জন্য,,,,, আল্লাহ হেদায়েত দান করুন",আল্লাহ এদের সন্তান দে আমি 4টা বছর ধরে অপেক্ষায় আছি একটা সন্তানের মুখ দেখার জন্য আল্লাহ হেদায়েত দান করুন,আল্লাহ এদের সন্তান দে আমি 4টা বছর ধরে অপেক্ষায় আছি একটা সন্তানের মুখ দেখার জন্য আল্লাহ হেদায়েত দান করুন,0,1,8,0,0,2,Supportive,Nonbullying
hashte hashte muk fati gese bodda,hashte hashte muk fati gese bodda,hashte hashte muk fati gese bodda,0,1,0,0,0,0,Happy,Nonbullying
comments porte vloi lagse,comments porte vloi lagse,comments porte vloi lagse,0,1,0,0,0,0,Happy,Nonbullying
than kiuu so মাছ . ha ha ha,than kiuu so মাছ  ha ha ha,than kiuu so মাছ  ha ha ha,0,1,1,0,3,0,Happy,Nonbullying
haishaa moira jaitasiii,haishaa moira jaitasiii,haishaa moira jaitasiii,1,1,0,0,0,1,Happy,Nonbullying
dadavai khub valo laglo haste haste pet batha hoye gelo 🤗❤️👌 amar poribar e asar onurodh roilo,dadavai khub valo laglo haste haste pet batha hoye gelo 🤗❤️👌 amar poribar e asar onurodh roilo,dadavai khub valo laglo haste haste pet batha hoye gelo ️ amar poribar e asar onurodh roilo,0,1,0,3,0,3,Happy,Nonbullying
so nice 😂😂😂,so nice 😂😂😂,so nice ,5,1,0,3,0,1,Happy,Nonbullying
sourav da just sera.. mind blowing...,sourav da just sera mind blowing,sourav da just sera mind blowing,6,1,5,0,0,1,Happy,Nonbullying
so funny 😂😆😂,so funny 😂😆😂,so funny ,4,1,0,3,0,2,Happy,Nonbullying
haste haste pete betha hoye gelo😂😂🤣🤣,haste haste pete betha hoye gelo😂😂🤣🤣,haste haste pete betha hoye gelo,3,1,0,4,0,2,Happy,Nonbullying
🤣🤣🤣🤣🤣 haste haste ses🤣🤣,🤣🤣🤣🤣🤣 haste haste ses🤣🤣, haste haste ses,0,1,0,7,0,2,Happy,Nonbullying
haha😂😂😂😂😂😂😂😂😂😂😂,haha😂😂😂😂😂😂😂😂😂😂😂,haha,3,0,0,11,0,0,Happy,Nonbullying
best chilo ata😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,best chilo ata😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,best chilo ata,0,1,0,28,0,1,Happy,Nonbullying
hasiye marla 🤣🤣🤣😂😂😂😂,hasiye marla 🤣🤣🤣😂😂😂😂,hasiye marla ,0,1,0,7,0,0,Happy,Nonbullying
darun😂😂,darun😂😂,darun,2,1,0,2,0,0,Happy,Nonbullying
haha,haha,haha,1,1,0,0,0,0,Happy,Nonbullying
wow,wow,wow,1,1,0,0,0,1,Happy,Nonbullying
hese. hese paglachda hoye gelam bhai🤣🤣🤣,hese hese paglachda hoye gelam bhai🤣🤣🤣,hese hese paglachda hoye gelam bhai,1,1,1,3,0,2,Happy,Nonbullying
ara boudi tomar gan ta khub laglo mana kana😝,ara boudi tomar gan ta khub laglo mana kana😝,ara boudi tomar gan ta khub laglo mana kana,0,1,0,1,0,0,Happy,Nonbullying
𝙃𝙖𝙝𝙖😂😂,𝙃𝙖𝙝𝙖😂😂,𝙃𝙖𝙝𝙖,0,1,0,2,0,0,Happy,Nonbullying
