comments,likes,Related_to_post,Bsentiment,label
nice video 💯💯😊☺️☺️☺️😝 you 💗💗💗💗💗😂😅😂😂😂🤣🤣,0,1,Supportive,Nonbullying
awesome bro😎,0,1,Supportive,Nonbullying
phata 😀phati  😃😃😃😃,0,1,Supportive,Nonbullying
moja paichi…,0,1,Supportive,Nonbullying
super yrr 👌👌👌👌👌,0,1,Supportive,Nonbullying
so nice boss 👌 👌 😀,0,1,Supportive,Nonbullying
sera video dada 😅😅😅😅😅😅,0,1,Supportive,Nonbullying
nice brother,0,1,Supportive,Nonbullying
bhalo laglo video ta dada love you,0,1,Supportive,Nonbullying
😂😂😂😂😂 fatafati,0,1,Supportive,Nonbullying
great boss,0,1,Supportive,Nonbullying
nice bro wow,0,1,Supportive,Nonbullying
i like this video😊😊😋😋😋,0,1,Supportive,Nonbullying
bhai video is overpower,0,1,Supportive,Nonbullying
dada. nice,0,1,Supportive,Nonbullying
wowsome,0,1,Supportive,Nonbullying
solid video dada mud thik hoye gelo,0,1,Supportive,Nonbullying
nice mama,0,1,Supportive,Nonbullying
darun 😘😘😘😘,0,1,Supportive,Nonbullying
ওয়াও so sweet,0,1,Supportive,Nonbullying
yes brooo,0,1,Supportive,Nonbullying
i love u bhai,0,1,Supportive,Nonbullying
wow so sweet,0,1,Supportive,Nonbullying
osm dada darun laglo,0,1,Supportive,Nonbullying
all the best bosssss khub valo,0,1,Supportive,Nonbullying
boss shakib al hasan,0,1,Supportive,Nonbullying
valoi hoto tumi takle yark,0,1,Supportive,Nonbullying
plz follow me,0,1,Supportive,Nonbullying
"this problem of flood, which i consider to be a yearly disaster, has to be tackled in a totally planned manner with proper resource management. this can be done by implementing both short term solutions and long term ones. thr short ones will help in arresting this issue untill a more permanent solution arrives to completely mitigate it.",0,1,Supportive,Nonbullying
nirhiyo manusher upor attyachar korle  echara ki hobe,0,1,Supportive,Nonbullying
vai ota jutor chap wala maxi...r jdi kichu ditei hy tle onke financially ba onar treatment r bybostha korun ..besi circus dekhte gechilen ulte  ekhne vai tomdr ee chechra r joker lgche..pls stop this nonsense 🙏,0,1,Supportive,Nonbullying
love u dada..op..,0,1,Supportive,Nonbullying
phata 😀phati  😃😃😃😃,0,1,Supportive,Nonbullying
wow so beautiful,0,1,Supportive,Nonbullying
i love this picture,0,1,Supportive,Nonbullying
ok,0,1,Supportive,Nonbullying
so lovely!,0,1,Supportive,Nonbullying
beautiful,0,1,Supportive,Nonbullying
vai anner video dehi ai hida oi gechi ,0,1,Supportive,Nonbullying
oma anne to dehi noakhailla kta beggin haren,0,1,Supportive,Nonbullying
tui ki hagol oi gechotti,0,1,Aggressive,Bullying
"ভাই আপনি একসময় অনেক ভালো খেলতেন, কিন্তু এখন আর ভালো খেলেনা  , ভালো খেলার চেষ্টা করেন",0,1,Supportive,Nonbullying
নিউজটা আরও সুন্দর করা যেত,0,1,Supportive,Nonbullying
osm broo আপনি একেবারে ঠিক,0,1,Supportive,Nonbullying
দাদা one million হয়ে গেলো congratuletion...,0,1,Supportive,Nonbullying
কথাটা কিন্তু রাইট বলছেন,0,1,Supportive,Nonbullying
আপু আপনাকে এই ড্রেসে দেখে ভাসা হারায় ফেলছি,0,1,Supportive,Neutral
নাসিরের ও ন্যাশনাল টিমে ফিরার সুযোগ আছে.,0,1,Supportive,Nonbullying
অনেক বেশি মিস করি ভাই আপনাকে,0,1,Supportive,Nonbullying
ইনশাআল্লাহ,0,1,Supportive,Nonbullying
"সবাই মজা নেয়, কেও তাকে সুস্থ করার চেষটা করে না",0,1,Supportive,Nonbullying
বস সাকিব আল হাসান,0,1,Supportive,Nonbullying
এই লাভ দিস পিক্সার ,0,1,Supportive,Nonbullying
ওকে,0,1,Supportive,Nonbullying
সো লাভ্লি!,0,1,Supportive,Nonbullying
বিউটিফুল,0,1,Supportive,Nonbullying
কিরে ভালা আঁচত তি তুই,0,1,Supportive,Nonbullying
ভাই আন্নের ভিডিউ দেহি আই হিদা অই গেচ্ছি,0,1,Supportive,Nonbullying
"আল্লাহ এদের সন্তান দে আমি  ,,টা বছর ধরে অপেক্ষায় আছি একটা সন্তানের মুখ দেখার জন্য,,,,, আল্লাহ হেদায়েত দান করুন",0,1,Supportive,Nonbullying
ছেলে হবে,0,1,Supportive,Nonbullying
সাব্বির কে আবার জাতীয় দলে দলে দেক তে চাই,0,1,Supportive,Nonbullying
"এই সব ভিডিও কাট বস আবার খেলাতে ফিরেছে,,,,,,,,,,,,,",0,1,Supportive,Nonbullying
ভালো হয়নি,0,1,Supportive,Nonbullying
সাব্বির এর মত ক্রিকেটে বাংলাদেশ কোন প্রয়োজন নেই,0,1,Supportive,Nonbullying
সাব্বির ভালো ছেলে,0,1,Supportive,Nonbullying
প্রিয় vai amader,0,1,Supportive,Nonbullying
আমি লাভ তোমরা,0,1,Supportive,Nonbullying
চালিয়ে যাও ভাই পাশে আছি অতীতের ধর্মঘটের,0,1,Supportive,Nonbullying
ভাই তুমি এত সুন্দর কতা বলতে পার,0,1,Supportive,Nonbullying
সেই হয়ছে ভাই,0,1,Supportive,Nonbullying
খুব সুন্দর হয়েছে,0,1,Supportive,Nonbullying
অসাধারণ হয়েছে,0,1,Supportive,Nonbullying
অনেক দিন পড়ে দেখলাম তুমার বিডিও,0,1,Supportive,Nonbullying
hmm...আমারো অলিম্পিক জয়ের সুযোগ আছে,0,1,Supportive,Nonbullying
দাদা one million হয়ে গেলো congratuletion...,0,1,Supportive,Nonbullying
"আল্লাহ এদের সন্তান দে আমি 4,,,টা বছর ধরে অপেক্ষায় আছি একটা সন্তানের মুখ দেখার জন্য,,,,, আল্লাহ হেদায়েত দান করুন",0,1,Supportive,Nonbullying
hashte hashte muk fati gese bodda,0,1,Happy,Nonbullying
comments porte vloi lagse,0,1,Happy,Nonbullying
than kiuu so মাছ . ha ha ha,0,1,Happy,Nonbullying
haishaa moira jaitasiii,1,1,Happy,Neutral
dadavai khub valo laglo haste haste pet batha hoye gelo 🤗❤️👌 amar poribar e asar onurodh roilo,0,1,Happy,Nonbullying
so nice 😂😂😂,5,1,Happy,Nonbullying
sourav da just sera.. mind blowing...,6,1,Happy,Nonbullying
so funny 😂😆😂,4,1,Happy,Nonbullying
haste haste pete betha hoye gelo😂😂🤣🤣,3,1,Happy,Nonbullying
🤣🤣🤣🤣🤣 haste haste ses🤣🤣,0,1,Happy,Nonbullying
haha😂😂😂😂😂😂😂😂😂😂😂,3,1,Happy,Neutral
best chilo ata😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,1,Happy,Nonbullying
hasiye marla 🤣🤣🤣😂😂😂😂,0,1,Happy,Nonbullying
darun😂😂,2,1,Happy,Nonbullying
haha,1,1,Happy,Nonbullying
wow,1,1,Happy,Nonbullying
hese. hese paglachda hoye gelam bhai🤣🤣🤣,1,1,Happy,Nonbullying
ara boudi tomar gan ta khub laglo mana kana😝,0,1,Happy,Nonbullying
𝙃𝙖𝙝𝙖😂😂,0,1,Happy,Nonbullying
হাসতে হাসতে মুখ ফাটি গেছে বদ্দা ,0,1,Happy,Nonbullying
হাইসসা মইরা জাইতাছি,1,1,Happy,Neutral
আমার যে কি হাসি পাচ্ছে তা বোলে বোঝাতে পারবো না।।। নাইটির ছাপা দেখে  রানু দির মাথা আরো পাগল হয়ে গেছে।,9,1,Happy,Neutral
রানু দির কথা শুনলে হাসিও পায় রাগ ও ধরে।,11,1,Happy,Neutral
হাসতে হাসতে শেষ,2,1,Happy,Nonbullying
আপনার ভিডিও আমি প্রথম বার দেখলাম ভালো  লাগলো 🤭🤭👊,0,1,Happy,Nonbullying
"ভিডিও টা দেখার পর আর হাসি থামাতে পারছিলাম না ,😅😅😅😅",2,1,Happy,Nonbullying
খুব ভালো লেগেছে,0,1,Happy,Nonbullying
অ-সাধারণ ফাটাফাটি,1,1,Happy,Nonbullying
মজা পেয়েছি অনেক,2,1,Happy,Nonbullying
সেরা 🤣🤣,4,1,Happy,Nonbullying
মজা পাইছি...,0,1,Happy,Nonbullying
খুব ভাল লাগলো দাদা,0,1,Happy,Nonbullying
aita ki dekhlam!!!!  hashte hashte sesh ami,4,1,Happy,Nonbullying
এতো হাসছি বলার বাহিরে গাল দুইটা ব্যাথা হইয়া গেছে 🤣🤣🤣🤣🤣🤣🤣🤣,46,1,Happy,Nonbullying
হাসতে হাসতে ছোপা থেকে পরে গিয়েছে 😂😂😂😂😂😂😂😂😂,30,1,Happy,Nonbullying
"i can't stop my laughing 😂  rm ,s   was very funny",10,1,Happy,Nonbullying
আজকের মতো আমি কোন দিন  হাসি নাই. thank you so much,20,1,Happy,Nonbullying
"i can't stop my laughing,,,,",27,1,Happy,Nonbullying
that's so funny is v's,2,1,Happy,Nonbullying
is very funny🤣😂,5,1,Happy,Nonbullying
ভিডিও টা অনেক ফানি ছিল হাসতে হাসতে আমি  খাট ভেঙে পরে গেছি 😅😅😅😅😅😅😅😅😂😂😂😂😂😂😂😂,0,1,Happy,Nonbullying
so funny❤️🤣😂😂😂😂😂,0,1,Happy,Nonbullying
🤣🤣😂😂অঙ্ক সোন্দর হইসে,3,1,Happy,Nonbullying
খুব  মজাদা লাগল♥️😍🍓,0,1,Happy,Nonbullying
so funny 😂,0,1,Happy,Nonbullying
অনেক ভালো লেগেছে🥘😀👍,0,1,Happy,Nonbullying
taehyung smiley so nice so nice look is very cool good-looking ummmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm mmmmmmmmmmmmmmmmmmm,1,1,Happy,Nonbullying
ami haste pagol hoye gasi 😂😂😂😂😂😂😂how funny😂😂😂😂,3,1,Happy,Nonbullying
আমার  হাসতে  হাসতে   হাসতে  পেট  বেথা   হয়ে  গেছে 😅😆😆😆😅,0,1,Happy,Nonbullying
পুরা বিডিও অনেক মজার ছিল হাসতে হাসতে হেসে দিছি  😁😌,5,1,Happy,Nonbullying
আপু ভিডিওটা অনেক মজার ছল আমিত প্রতিটা ভিডিওতে ভি হাঁসি দেখার জন্য বসে থাকি i love bts v ❤️❤️❤️❤️🥰🥰🥰🥰,0,1,Happy,Nonbullying
jhope ar face dekhe ami haste haste shes🤣🤣🤣😂😂😂😂,6,1,Happy,Nonbullying
হাসতে হাসতে খাটের থিকা পইরা গেছি আমি 😂😂😂😂😂😂🤭🤭,16,1,Happy,Nonbullying
আমি হাসতে হাসতে শেষ  💜💜💜💜,10,1,Happy,Nonbullying
আপু গো আমি হাসতে হাসতে শেষ হইয়া গেছি আল্লাহ এতো হাসির এরকম আরো চাই চাই প্লিজ 😂😂😂😂😂,10,1,Happy,Nonbullying
hashte hashte pet betha krtese🤣🤣🤣🤣🤣😂😂😂 omg 🤣🤣🤣🤣,1,1,Happy,Nonbullying
হাসতে হাসতে পাগল হয়ে যাচ্ছি,1,1,Happy,Nonbullying
so good and funny video😂😂😂😂🤣🤣🤣🥰🥰🥰💜💜💜💜,2,1,Happy,Nonbullying
পনের বার দেখলাম সেই 🥰😁,6,1,Happy,Nonbullying
আমি হাসতে হাসতে শেষ,1,1,Happy,Nonbullying
খুব ভালো লাগছে  আমি হাসতে হাসতে  শেষ 💖💖😊😍😍,5,1,Happy,Nonbullying
ভালো লাগছে🤣🤣🤣🤣🤣😂😂😂😂😂😂,2,1,Happy,Nonbullying
"আনুষ্ঠানিকভাবে যে বিনেদন পাওয়া যায় আই হাই আগে জানতাম না গো জনগনের,,,,, 🤣🤣🤣🤣",11,1,Happy,Nonbullying
আমিও ভাই আসতে হাসতে শেষ,0,1,Happy,Nonbullying
দুই তারিখে পরীক্ষা অনেক মানসিক চাপের মধ্যে ছিলাম শ্রাবণী আর ইয়ামিন এর ভিডিওটা দেখে একটু মানসিক শান্তি পেলাম 😁🥰,194,1,Happy,Nonbullying
অনেক মজা পেলাম। শেষের ভাগটা দেখে অনেক হাসলাম 😂😂😂,12,1,Happy,Nonbullying
হাসতে হাসতে জীবন শেষ। অনেক সুন্দর 😂😂😂💖,0,1,Happy,Nonbullying
ইয়ামিনের কবিতা শুনে হাসতে হাসতে পেট বেথা হয়ে গেল😁😁😁😁😁,0,1,Happy,Nonbullying
ফুপ্পি মানেই জুশ 😆🤗 ,0,1,Happy,Nonbullying
😂😂 অনেক দিন পর অনেক হাসলাম। খুব ভালো লাগলো ভিডিও টা 😂😂 ,3,1,Happy,Nonbullying
বৌদির স্নান করার পার্ট টা   দেখে অনেক বেশি হেসেছিলাম  😆🤣,0,1,Happy,Nonbullying
হাসতে   হাসতে  পেট  বেথা😃🤣,17,1,Happy,Nonbullying
বাংলাদেশ থেকে দেখছি অসাধারন হইছে...অনেক হেসেছি আ ,3,1,Happy,Nonbullying
ফাটাকেষ্ট বউ । 😁😁😁😁 হাসতে হাসতে পেট ব্যাথা হয়ে গেল দাদা । আরেক টা পাট চাই please dada ।😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁,3,1,Happy,Nonbullying
হাসতে হাসতে পেট পুরো ব্যাথা হয়ে গেল 😂😂😂😂😂😂 ,5,1,Happy,Nonbullying
হাসতে হাসতে পেতে ব‍্যথা 😂😂😂😂😂,0,1,Happy,Nonbullying
হাসতে হাসতে পেট ব্যাথা হয়ে গেল। 😅😅😅😅❤️💝💛💜🖤💙💚🧡🥀💖👍💕,6,1,Happy,Nonbullying
হাসতে হাসতে পেটে ব্যাথা হয়ে গেল পেটে খিল ধরে গেলো,0,1,Happy,Nonbullying
পিচকারি তে দম নেই😂😂।। হলি খেলতে এসেছে 😂😂।। এটা সেরা👍👍👍,2,1,Happy,Nonbullying
"দারুণ হয়েছে ভিডিও টা। 

হাসতে হাসতে পেট ভেটে গেল। 🤣🤣🤣🤣",2,1,Happy,Nonbullying
সত্যি দাদা হাসতে হাসতে পেটে খিল ধরে গেলো 😂 ,2,1,Happy,Nonbullying
seriously mane just awesome 🤣🤣🤣🤣🤣 ,1,1,Happy,Nonbullying
haste haste pete khil dhore niyeche baba re🤣🤣🤣🤣🤣🤣🤣😂😂😁😁😁😁😁 ,1,1,Happy,Nonbullying
সত্যি হাসতে হাসতে পেট ব্যাথা করছে 😂😂😂😂😂😂😂❤️❤️ ,0,1,Happy,Nonbullying
খুব  হাসির,0,1,Happy,Nonbullying
hese hese pet ta batha hoye gelo 😂😂😂😂🤣😂🤣,0,1,Happy,Nonbullying
"খুব সুন্দর হয়েছে অসাধারণ। 
শুরু তে হাসি লাগলেও পরে আর কান্না ধরে রাখতে পারলাম না👍",0,1,Happy,Nonbullying
হাসতে হাসতে পেট ব্যথা হয়ে গেল😂😂😂 just ফাটাফাটি👌🏻😁,0,1,Happy,Nonbullying
শেষ টা মন ছুঁয়ে গেল 👍❤️❤️❤️🥰🥺 ,4,1,Happy,Nonbullying
khub enjoy korlam video ta ❤️❤️tomader video gulo just fatafati hoy😍❤️👌 ,10,1,Happy,Nonbullying
শেষের কথাগুলো মন ছুঁয়ে গেছে ❤️💖❤️💖❤️💖❤️,2,1,Happy,Nonbullying
মাছওয়ালার জাইগাটা বাপোক হইছে🤣🤣🤣🤣🤣🤣🤣😂😂😂😂😂হাসতে হাসতে পেট ব্যাথা হইয়া গেল।,2,1,Happy,Nonbullying
অনেক দিন ধরে তোমার ভিডিও অপেক্ষায় ছিলাম finally ভিডিও এসে গেছে i am soo happy 😄😄😄 ,0,1,Happy,Nonbullying
হেসে হেসে বদ্ধ হয়ে গেলাম 😂😂👍👍👍👍👍👍👍👍👍👍,0,1,Happy,Nonbullying
very very funny 😁😁😁,0,1,Happy,Nonbullying
হাসতে হাসতে পুরো পেট ব্যাতা,0,1,Happy,Nonbullying
সত্যি বলছি হাসতে হাসতে পেট ব্যথা হইয়া গেছেগা ,0,1,Happy,Nonbullying
আপু  টার  হাসি  শুনে  আমার  হাসি  চলে এসেছে,17,1,Happy,Nonbullying
হাসতে হাসতে আমার পেট ব্যাথা হয়ে গেল😇😇🤭 ,0,1,Happy,Nonbullying
হাসতে হাসতে জীবন শেষ ।,3,1,Happy,Nonbullying
দারুন দারুন হেসে হেসে পেট ব্যাথা হয়ে গেল ।। 😂😂😂😂😂😁😁😁😁 ,0,1,Happy,Nonbullying
my god!!!!so funny!!!!হাসতে হাসতে পেটে ব্যথা হয়ে গেল একেবারে|এক কথায় অসাধারণ🤣🤣🤣😂😂😂 ,0,1,Happy,Nonbullying
uperb 🔥👌👌👌🤣🤣🤣 পেট ব্যাথা হয়ে গেল হাসতে হাসতে।। 😂😂 ,0,1,Happy,Nonbullying
হাসির পার্ট টা বেস্ট ছিলো। ওটা দেখে আমি নিজেই হাঁসি থামাতে পারছিলাম না ,0,1,Happy,Nonbullying
আমি হাসতে হাসতে শেষ ,0,1,Happy,Nonbullying
"হাসতে হাসতে পেট ফেটে  গেল


",0,1,Happy,Nonbullying
অসাধারণ অভিনয় ছিল ভাই হাসতে হাসতে আমি শেষ 😂😂😂😂 ,13,1,Happy,Nonbullying
super pretam da and di...... tomader vedio gulo dekhe hese hese pagol hoye jai amra.. amr darun lage toma der vedic awesome👍👏😊😁😁😁😁😁😅😂😂🤣🙃😇😇🤑 ,0,1,Happy,Nonbullying
hasi ta darun chilo🤣🤣 ,0,1,Happy,Nonbullying
আপনার প্রত্যকটা ভিডিও আমি দেখি।এইটা দেখে না হাসে পারলাম না আপু😁😁😁 ,0,1,Happy,Nonbullying
anner protaikta video ai dehi aida dehi na hasi harlamno 😁😁😁 ,0,1,Happy,Nonbullying
hala bandirpo thik kore khel na kehlle tor khobor ache,0,1,Aggressive,Bullying
aigulare dhoira dunia theke ber kore dewa ucit moira ja tui hala bekub,0,1,Aggressive,Bullying
harami thik kore khelich na kehlle tore pidamu,0,1,Aggressive,Bullying
ai sob news na banaia gia ghumay thak ,2,1,Aggressive,Bullying
togo aisob news dekhe monday chay jharu dia pidi ,8,1,Aggressive,Bullying
you r looking hot kintu tui j kon desher harmi bujhte partachina ,9,1,Aggressive,Bullying
ranu mondol k diye gan noy abasik hotel calo kora hok,0,1,Abusive,Neutral
pagol chagol,3,1,Aggressive,Bullying
osm broo apni ake bare thik ...erokom selibrity nejeke ki je mone korche .se abar orkome bike korbe ...,0,1,Normal_comment,Nonbullying
pagla chuda mohila,6,1,Aggressive,Bullying
banchod ayle ata kora tik na tor,3,1,Aggressive,Bullying
😆😆😆😆😆😆.. ekdom.. tik.. sala.. amaro..,0,1,Aggressive,Bullying
thik koreche koyel . ranu mukhe sobai mile juto mara darkar,1,1,Aggressive,Bullying
chudir vai alaka dekhte asechis to rate jigges korchis kno,0,1,Aggressive,Bullying
khankimagi akta..salar fasi chai,0,1,Aggressive,Bullying
dur sala,0,1,Aggressive,Bullying
ranu pagli 🐗🐗🐗🐗🐗🐗🐀🐀🐀🐀🐶🐶🐶🐶🐶🐶,0,1,Aggressive,Bullying
acting to kichoy pare na.shodo chehara ta ache,0,1,Aggressive,Bullying
ar ranu mondol akta mentle.... take nia troll kore lab nai ,0,1,Aggressive,Bullying
ei sob janowar der janto puriye mara uchit,0,1,Aggressive,Bullying
porimoni akta nosto mal sali hoga mara,0,1,Aggressive,Bullying
"you are a bustard , don't know how to do a work properly ",0,1,Aggressive,Bullying
bainchodgirir ekta shima thaka ucit,0,1,Aggressive,Bullying
joto sohoje onner bow k nijer bow bania felecho!,177,1,Aggressive,Bullying
ai jonnoi to onner bow apnar ghore.,25,1,Aggressive,Bullying
bisshokap ki arek joner bow j jor kore nibe? luchu,59,1,Aggressive,Bullying
"shala gandu, aita rakiber bow na ze chaili ar nia asli. ",22,1,Aggressive,Bullying
niom kore shokal bikal thabrano uchit,22,1,Aggressive,Bullying
tomar kace world cup mane to manuser bou hatiye neua,33,1,Aggressive,Bullying
"world cup   কোনো বিবাহিত মেয়ে না যে, বললা আর জয় করে ফেললা।।",16,1,Aggressive,Bullying
banite dorbesh baba,9,1,Aggressive,Bullying
world cup to tmi niye gaso t ak jon er cup hala lucca,6,1,Aggressive,Bullying
অন্যের বউকে পটানোর চেয়ে world  cup জেতা কঠিন ভাই!,5,1,Aggressive,Bullying
world cup  and r ek bedar bow nia asa ek nare vai.2umi je gold cup nia ascho oita nia e thako.faizlami kotha bartha r boilo na vai .,6,1,Aggressive,Bullying
hi rakib or hotin,7,1,Aggressive,Bullying
koto heda e bolba.... tmi to er ek bedar cup niye chole geso.,4,1,Aggressive,Bullying
tmi sonaa kaowww,4,1,Aggressive,Bullying
what a great  prediction of goats.,2,1,Aggressive,Bullying
eta tamima r moto bodna cup na,4,1,Aggressive,Bullying
kire batpar porer bou niye moja kortiso,3,1,Aggressive,Bullying
"tor nanir howya,, salarpoth toi gooya mara kha",3,1,Aggressive,Bullying
বউ চুরি করা সহজ  world cop না,2,1,Aggressive,Neutral
"such a joker this guy, shameless",0,1,Aggressive,Bullying
tumi khelo khate ora khele mate,3,1,Aggressive,Bullying
hala ana khaiya tal oigese,3,1,Aggressive,Bullying
rongpur ar mofij....,2,1,Aggressive,Bullying
date expired gaja khaile ja hoy arki,2,1,Aggressive,Bullying
world cup তামিমার মত সস্তা না।,0,1,Aggressive,Bullying
"o mona hoi date over ganja kaisa  ,,,aita tamima na ja jor kora nea aslam,,",0,1,Aggressive,Bullying
ganjar nesha sesh oisena er lagi ota mater,2,1,Aggressive,Bullying
vai world cup to bichanay khele na apner moto,0,1,Aggressive,Bullying
ho tumi toh tamima joy korcho,2,1,Aggressive,Bullying
halay pagl hoice,0,1,Aggressive,Bullying
date expaire gaza khaise maybe,0,1,Aggressive,Bullying
mal khor sala,0,1,Aggressive,Bullying
pagol,0,1,Aggressive,Bullying
তুমি তো rejected product,0,1,Aggressive,Bullying
lucchar abar interview,0,1,Aggressive,Bullying
নাসির তো জয় korse onnor বউ তাই তার kase সব ওইরকম মনে হয় easy,0,1,Aggressive,Bullying
pagla,0,1,Aggressive,Bullying
halar po aida ki  onner bow baige niya jawa re…,0,1,Aggressive,Bullying
vai.... ajk gaja besi khaiche,0,1,Aggressive,Bullying
toi halar po bolta hoba na toi poro kia nia thak.....,0,1,Aggressive,Bullying
akhon obdi tamima k joy korte parlo na!abar bissokap,0,1,Aggressive,Bullying
bodmais ka bacca,0,1,Aggressive,Bullying
ai omanostar jonnono comments korata o comments nawoatao bokami,0,1,Aggressive,Bullying
faltu,0,1,Aggressive,Bullying
kamer fande porechhe nasir.,0,1,Aggressive,Bullying
shalar lojja nai,0,1,Aggressive,Bullying
mar halare 😂,0,1,Aggressive,Bullying
😂😂😂😂 চেলিব্রিটি,1,1,Aggressive,Bullying
ki nirlojjaar moto hasi,0,1,Aggressive,Bullying
magi 😍😍😍,0,1,Aggressive,Bullying
